year,month,day,max_tmp
2014,01,01,32.500
2014,01,02,30.300
2014,01,03,
2014,01,04,30.800
2014,01,05,32.000
2014,01,06,31.000
2014,01,07,29.800
2014,01,08,31.700
2014,01,09,31.800
2014,01,10,31.900
2014,01,11,32.100
2014,01,12,30.000
2014,01,13,31.200
2014,01,14,31.500
2014,01,15,32.400
2014,01,16,32.000
2014,01,17,31.700
2014,01,18,31.900
2014,01,19,31.700
2014,01,20,32.000
2014,01,21,32.000
2014,01,22,32.500
2014,01,23,32.200
2014,01,24,32.500
2014,01,25,30.400
2014,01,26,33.300
2014,01,27,32.200
2014,01,28,32.900
2014,01,29,
2014,01,30,
2014,01,31,31.300
2014,02,01,31.500
2014,02,02,31.500
2014,02,03,31.800
2014,02,04,28.900
2014,02,05,30.800
2014,02,06,31.400
2014,02,07,31.200
2014,02,08,31.300
2014,02,09,30.700
2014,02,10,31.200
2014,02,11,31.700
2014,02,12,31.400
2014,02,13,30.100
2014,02,14,31.000
2014,02,15,30.000
2014,02,16,30.800
2014,02,17,
2014,02,18,31.200
2014,02,19,29.900
2014,02,20,30.100
2014,02,21,31.000
2014,02,22,31.300
2014,02,23,31.500
2014,02,24,32.000
2014,02,25,31.800
2014,02,26,31.500
2014,02,27,31.700
2014,02,28,31.900
2014,03,01,32.100
2014,03,02,32.100
2014,03,03,32.200
2014,03,04,29.900
2014,03,05,31.000
2014,03,06,31.300
2014,03,07,31.900
2014,03,08,31.400
2014,03,09,31.000
2014,03,10,29.800
2014,03,11,31.000
2014,03,12,31.200
2014,03,13,31.500
2014,03,14,31.200
2014,03,15,30.600
2014,03,16,31.000
2014,03,17,
2014,03,18,30.400
2014,03,19,30.700
2014,03,20,32.000
2014,03,21,32.000
2014,03,22,31.700
2014,03,23,32.000
2014,03,24,32.100
2014,03,25,32.700
2014,03,26,32.100
2014,03,27,32.200
2014,03,28,30.600
2014,03,29,31.800
2014,03,30,31.000
2014,03,31,30.000
2014,04,01,
2014,04,02,
2014,04,03,29.800
2014,04,04,31.700
2014,04,05,31.500
2014,04,06,31.700
2014,04,07,32.200
2014,04,08,30.900
2014,04,09,30.100
2014,04,10,31.500
2014,04,11,31.500
2014,04,12,30.900
2014,04,13,31.600
2014,04,14,32.200
2014,04,15,31.500
2014,04,16,29.500
2014,04,17,29.400
2014,04,18,
2014,04,19,31.700
2014,04,20,32.100
2014,04,21,31.900
2014,04,22,31.300
2014,04,23,31.400
2014,04,24,31.300
2014,04,25,31.700
2014,04,26,31.800
2014,04,27,32.200
2014,04,28,29.700
2014,04,29,30.500
2014,04,30,31.100
2014,05,01,
2014,05,02,32.100
2014,05,03,31.400
2014,05,04,31.100
2014,05,05,31.400
2014,05,06,30.600
2014,05,07,31.400
2014,05,08,31.300
2014,05,09,31.100
2014,05,10,
2014,05,11,29.900
2014,05,12,31.900
2014,05,13,30.700
2014,05,14,
2014,05,15,
2014,05,16,31.200
2014,05,17,31.700
2014,05,18,31.700
2014,05,19,31.400
2014,05,20,31.700
2014,05,21,
2014,05,22,31.300
2014,05,23,31.500
2014,05,24,31.500
2014,05,25,31.400
2014,05,26,31.600
2014,05,27,30.300
2014,05,28,
2014,05,29,31.100
2014,05,30,
2014,05,31,
2014,06,01,
2014,06,02,31.700
2014,06,03,31.300
2014,06,04,31.000
2014,06,05,31.400
2014,06,06,31.400
2014,06,07,31.000
2014,06,08,30.800
2014,06,09,31.200
2014,06,10,32.300
2014,06,11,32.500
2014,06,12,32.000
2014,06,13,31.100
2014,06,14,31.600
2014,06,15,
2014,06,16,31.300
2014,06,17,29.700
2014,06,18,
2014,06,19,31.600
2014,06,20,31.000
2014,06,21,31.700
2014,06,22,
2014,06,23,32.200
2014,06,24,31.000
2014,06,25,31.700
