year,month,day,max_tmp
2014,09,16,30.700
2014,09,17,31.600
2014,09,18,30.800
2014,09,19,31.400
2014,09,20,32.000
2014,09,21,30.400
2014,09,22,31.900
2014,09,23,31.900
2014,09,24,31.800
2014,09,25,31.600
2014,09,26,31.700
2014,09,27,31.200
2014,09,28,
2014,09,29,
2014,09,30,
2014,10,01,31.500
2014,10,02,31.700
2014,10,03,32.400
2014,10,04,32.400
2014,10,05,
2014,10,06,32.000
2014,10,07,31.900
2014,10,08,
2014,10,09,
2014,10,10,
2014,10,11,32.500
2014,10,12,31.800
2014,10,13,32.200
2014,10,14,31.700
2014,10,15,32.600
2014,10,16,
2014,10,17,32.200
2014,10,18,31.600
2014,10,19,32.000
2014,10,20,31.500
2014,10,21,31.800
2014,10,22,32.000
2014,10,23,31.600
2014,10,24,32.400
2014,10,25,31.600
2014,10,26,32.500
2014,10,27,31.800
2014,10,28,32.000
2014,10,29,31.700
2014,10,30,32.300
2014,10,31,31.900
2014,11,01,32.200
2014,11,02,31.000
2014,11,03,31.600
2014,11,04,32.300
2014,11,05,31.600
2014,11,06,32.000
2014,11,07,31.700
2014,11,08,31.800
2014,11,09,31.700
2014,11,10,31.000
2014,11,11,32.000
2014,11,12,32.400
2014,11,13,32.600
2014,11,14,32.400
2014,11,15,32.200
2014,11,16,32.400
2014,11,17,32.200
2014,11,18,31.500
2014,11,19,31.900
2014,11,20,31.600
2014,11,21,32.600
2014,11,22,31.900
2014,11,23,32.300
2014,11,24,31.700
2014,11,25,31.600
2014,11,26,30.600
2014,11,27,32.200
2014,11,28,32.000
2014,11,29,31.400
2014,11,30,32.700
2014,12,01,32.000
2014,12,02,32.300
2014,12,03,31.800
2014,12,04,31.000
2014,12,05,31.900
2014,12,06,32.100
2014,12,07,32.000
2014,12,08,31.800
2014,12,09,31.200
2014,12,10,31.800
2014,12,11,32.700
2014,12,12,31.900
2014,12,13,31.400
2014,12,14,32.200
2014,12,15,31.000
2014,12,16,31.900
2014,12,17,32.400
2014,12,18,32.900
2014,12,19,32.100
2014,12,20,32.000
2014,12,21,32.000
2014,12,22,31.500
2014,12,23,31.800
2014,12,24,31.200
2014,12,25,30.600
2014,12,26,31.600
2014,12,27,31.600
2014,12,28,31.000
2014,12,29,31.200
2014,12,30,31.300
2014,12,31,31.600
2015,01,01,31.600
2015,01,02,
2015,01,03,29.300
2015,01,04,31.200
2015,01,05,30.800
2015,01,06,30.200
2015,01,07,30.600
2015,01,08,31.400
2015,01,09,31.400
2015,01,10,30.200
2015,01,11,31.400
2015,01,12,31.400
2015,01,13,32.000
2015,01,14,32.200
2015,01,15,32.500
2015,01,16,32.000
2015,01,17,31.600
2015,01,18,31.800
2015,01,19,32.300
2015,01,20,31.800
2015,01,21,32.100
2015,01,22,31.800
2015,01,23,32.000
2015,01,24,31.900
2015,01,25,33.000
2015,01,26,32.000
2015,01,27,32.000
2015,01,28,32.400
2015,01,29,32.200
2015,01,30,32.800
2015,01,31,32.600
2015,02,01,32.900
2015,02,02,31.800
2015,02,03,32.000
2015,02,04,33.000
2015,02,05,32.600
2015,02,06,32.900
2015,02,07,33.200
2015,02,08,33.000
2015,02,09,33.100
2015,02,10,32.900
2015,02,11,33.000
2015,02,12,32.900
2015,02,13,33.000
2015,02,14,32.700
2015,02,15,31.400
2015,02,16,32.400
2015,02,17,32.600
2015,02,18,31.600
2015,02,19,30.900
2015,02,20,28.400
2015,02,21,29.500
2015,02,22,
2015,02,23,28.400
2015,02,24,28.600
2015,02,25,31.500
2015,02,26,30.800
2015,02,27,
2015,02,28,31.000
2015,03,01,30.600
2015,03,02,32.200
2015,03,03,31.900
2015,03,04,31.200
2015,03,05,30.700
2015,03,06,29.600
2015,03,07,
2015,03,08,28.100
2015,03,09,27.700
2015,03,10,31.000
2015,03,11,31.400
2015,03,12,31.700
2015,03,13,31.600
2015,03,14,32.900
2015,03,15,32.400
2015,03,16,31.800
2015,03,17,32.000
2015,03,18,31.100
2015,03,19,32.000
2015,03,20,31.100
2015,03,21,30.200
2015,03,22,28.800
2015,03,23,29.100
2015,03,24,31.200
2015,03,25,31.600
2015,03,26,30.900
2015,03,27,31.600
2015,03,28,31.200
2015,03,29,29.600
2015,03,30,30.400
2015,03,31,30.400
2015,04,01,28.200
2015,04,02,31.100
2015,04,03,30.600
2015,04,04,31.300
2015,04,05,32.000
2015,04,06,32.300
2015,04,07,32.400
2015,04,08,30.600
2015,04,09,31.200
2015,04,10,30.800
2015,04,11,31.600
2015,04,12,28.100
2015,04,13,
2015,04,14,31.400
2015,04,15,31.600
2015,04,16,31.100
2015,04,17,31.400
2015,04,18,31.500
2015,04,19,29.800
2015,04,20,31.900
2015,04,21,31.800
2015,04,22,29.800
2015,04,23,29.600
2015,04,24,31.800
2015,04,25,31.600
2015,04,26,31.900
2015,04,27,31.400
2015,04,28,30.000
2015,04,29,31.500
2015,04,30,
2015,05,01,
2015,05,02,
2015,05,03,
2015,05,04,31.900
2015,05,05,32.400
2015,05,06,31.600
2015,05,07,31.700
2015,05,08,31.400
2015,05,09,31.300
2015,05,10,31.700
2015,05,11,31.700
2015,05,12,32.000
2015,05,13,31.700
2015,05,14,32.000
2015,05,15,
2015,05,16,31.900
2015,05,17,31.800
2015,05,18,32.000
2015,05,19,32.400
2015,05,20,
2015,05,21,32.400
2015,05,22,31.600
2015,05,23,31.400
2015,05,24,31.600
2015,05,25,29.600
2015,05,26,31.300
2015,05,27,31.000
2015,05,28,31.200
2015,05,29,31.600
2015,05,30,31.000
2015,05,31,31.900
2015,06,01,31.000
2015,06,02,31.800
2015,06,03,30.200
2015,06,04,31.900
2015,06,05,30.800
2015,06,06,31.800
2015,06,07,30.000
2015,06,08,30.200
2015,06,09,31.100
2015,06,10,31.500
2015,06,11,31.200
2015,06,12,30.900
2015,06,13,30.600
2015,06,14,31.600
2015,06,15,31.000
2015,06,16,31.400
2015,06,17,31.000
2015,06,18,30.700
2015,06,19,31.100
2015,06,20,30.800
2015,06,21,30.700
2015,06,22,29.200
2015,06,23,30.600
2015,06,24,30.400
2015,06,25,31.000
2015,06,26,
2015,06,27,31.700
2015,06,28,30.600
2015,06,29,30.200
2015,06,30,30.400
2015,07,01,31.600
2015,07,02,29.800
2015,07,03,29.600
2015,07,04,
2015,07,05,30.900
2015,07,06,31.700
2015,07,07,29.800
2015,07,08,30.700
2015,07,09,30.500
2015,07,10,30.800
2015,07,11,31.400
2015,07,12,31.000
