hora,viagens
5,0.0
6,3.0
7,9.0
8,17.0
9,12.0
10,15.0
11,6.0
12,12.0
13,9.0
14,11.0
15,11.0
16,28.0
17,43.0
18,60.0
19,41.0
20,37.0
21,20.0
22,17.0
23,3.0
