hora,viagens
5,34.0
6,54.0
7,103.0
8,64.0
9,60.0
10,54.0
11,71.0
12,83.0
13,85.0
14,68.0
15,85.0
16,164.0
17,246.0
18,216.0
19,144.0
20,97.0
21,73.0
22,32.0
23,6.0
