hora,viagens
5,32.0
6,85.0
7,108.0
8,59.0
9,76.0
10,95.0
11,78.0
12,148.0
13,102.0
14,96.0
15,123.0
16,179.0
17,292.0
18,266.0
19,167.0
20,136.0
21,124.0
22,40.0
23,12.0
