hora,viagens
5,15.0
6,34.0
7,67.0
8,73.0
9,80.0
10,80.0
11,81.0
12,82.0
13,63.0
14,64.0
15,81.0
16,141.0
17,149.0
18,175.0
19,158.0
20,104.0
21,69.0
22,45.0
23,26.0
