hora,viagens
5,27.0
6,55.0
7,104.0
8,72.0
9,61.0
10,49.0
11,81.0
12,94.0
13,77.0
14,87.0
15,78.0
16,140.0
17,188.0
18,153.0
19,117.0
20,69.0
21,78.0
22,25.0
23,20.0
