hora,viagens
5,3.0
6,14.0
7,49.0
8,25.0
9,5.0
10,12.0
11,10.0
12,7.0
13,11.0
14,28.0
15,34.0
16,83.0
17,103.0
18,72.0
19,53.0
20,37.0
21,30.0
22,20.0
23,6.0
