hora,viagens
5,14.0
6,63.0
7,112.0
8,135.0
9,152.0
10,138.0
11,90.0
12,44.0
13,49.0
14,37.0
15,48.0
16,141.0
17,148.0
18,130.0
19,101.0
20,55.0
21,27.0
22,14.0
23,5.0
