hora,viagens
5,18.0
6,48.0
7,78.0
8,57.0
9,51.0
10,52.0
11,67.0
12,63.0
13,69.0
14,63.0
15,62.0
16,92.0
17,144.0
18,133.0
19,93.0
20,83.0
21,35.0
22,30.0
23,13.0
