hora,viagens
5,24.0
6,68.0
7,169.0
8,117.0
9,88.0
10,94.0
11,90.0
12,103.0
13,85.0
14,97.0
15,81.0
16,131.0
17,264.0
18,293.0
19,184.0
20,154.0
21,106.0
22,41.0
23,15.0
