hora,viagens
5,20.0
6,45.0
7,126.0
8,50.0
9,55.0
10,59.0
11,73.0
12,82.0
13,59.0
14,62.0
15,77.0
16,147.0
17,201.0
18,211.0
19,127.0
20,109.0
21,71.0
22,31.0
23,8.0
