hora,viagens
5,14.0
6,59.0
7,104.0
8,120.0
9,124.0
10,90.0
11,53.0
12,40.0
13,39.0
14,49.0
15,65.0
16,130.0
17,121.0
18,111.0
19,100.0
20,74.0
21,24.0
22,28.0
23,9.0
