hora,viagens
5,9.0
6,36.0
7,72.0
8,49.0
9,74.0
10,69.0
11,60.0
12,42.0
13,51.0
14,59.0
15,57.0
16,96.0
17,124.0
18,98.0
19,95.0
20,67.0
21,48.0
22,28.0
23,9.0
