dia,M_3,F_3,O_3
2015-07-16,126,54,1.0
2015-07-17,112,43,0.0
2015-07-18,119,54,1.0
2015-07-19,74,45,0.0
2015-07-20,106,69,0.0
2015-07-21,122,54,0.0
2015-07-22,110,59,0.0
2015-07-23,116,60,0.0
2015-07-24,121,77,0.0
2015-07-25,116,52,0.0
2015-07-26,92,66,0.0
2015-07-27,120,44,0.0
2015-07-28,118,44,0.0
2015-07-29,133,60,0.0
2015-07-30,105,41,0.0
2015-07-31,116,56,0.0
2015-08-01,95,52,0.0
2015-08-02,92,74,1.0
2015-08-03,107,45,0.0
2015-08-04,128,49,0.0
2015-08-05,146,56,0.0
2015-08-06,134,67,0.0
2015-08-07,130,66,0.0
2015-08-08,91,62,1.0
2015-08-09,86,53,0.0
2015-08-10,110,47,0.0
2015-08-11,103,48,2.0
2015-08-12,115,55,0.0
2015-08-13,116,40,0.0
2015-08-14,108,40,0.0
2015-08-15,92,63,0.0
2015-08-16,90,42,0.0
2015-08-17,93,64,0.0
2015-08-18,129,51,0.0
2015-08-19,125,51,0.0
2015-08-20,142,49,0.0
2015-08-21,144,64,0.0
2015-08-22,69,39,0.0
2015-08-23,78,70,0.0
2015-08-24,123,71,0.0
2015-08-25,113,63,0.0
2015-08-26,132,57,0.0
2015-08-27,164,84,0.0
2015-08-28,127,58,0.0
2015-08-29,109,54,0.0
2015-08-30,132,67,0.0
2015-08-31,71,26,0.0
2015-09-01,79,48,0.0
2015-09-02,123,35,0.0
2015-09-03,97,61,0.0
2015-09-04,122,48,0.0
2015-09-05,77,54,0.0
2015-09-06,88,73,0.0
2015-09-07,64,41,2.0
2015-09-08,158,81,0.0
2015-09-09,139,86,0.0
2015-09-10,137,66,0.0
2015-09-11,140,61,1.0
2015-09-12,81,39,0.0
2015-09-13,110,74,0.0
2015-09-14,125,44,0.0
2015-09-15,144,91,1.0
2015-09-16,119,60,0.0
2015-09-17,113,88,0.0
2015-09-18,113,46,0.0
2015-09-19,92,32,0.0
2015-09-20,113,93,0.0
2015-09-21,113,65,0.0
2015-09-22,120,55,0.0
2015-09-23,136,71,0.0
2015-09-24,177,71,1.0
2015-09-25,147,77,0.0
2015-09-26,104,49,1.0
2015-09-27,100,74,0.0
2015-09-28,96,41,0.0
2015-09-29,102,65,0.0
2015-09-30,133,82,1.0
2015-10-01,126,74,0.0
2015-10-02,121,48,0.0
2015-10-03,62,50,0.0
2015-10-04,80,65,0.0
2015-10-05,104,53,0.0
2015-10-06,119,57,0.0
2015-10-07,118,52,0.0
2015-10-08,111,55,0.0
2015-10-09,129,59,0.0
2015-10-10,69,35,0.0
2015-10-11,75,64,0.0
2015-10-12,93,61,0.0
2015-10-13,139,55,0.0
2015-10-14,125,58,0.0
2015-10-15,113,51,0.0
2015-10-16,127,52,0.0
2015-10-17,77,40,0.0
2015-10-18,97,62,0.0
2015-10-19,78,62,0.0
2015-10-20,132,61,0.0
2015-10-21,107,61,0.0
2015-10-22,153,85,0.0
2015-10-23,162,77,0.0
2015-10-24,117,65,0.0
2015-10-25,126,86,0.0
2015-10-26,187,83,0.0
2015-10-27,225,79,0.0
2015-10-28,209,97,0.0
2015-10-29,204,91,0.0
2015-10-30,172,60,0.0
2015-10-31,130,60,1.0
2015-11-01,110,95,0.0
2015-11-02,115,77,0.0
2015-11-03,203,85,0.0
2015-11-04,200,121,0.0
2015-11-05,247,113,0.0
2015-11-06,266,122,0.0
2015-11-07,148,96,0.0
2015-11-08,126,87,0.0
2015-11-09,195,90,0.0
2015-11-10,221,100,0.0
2015-11-11,216,102,0.0
2015-11-12,231,116,0.0
2015-11-13,235,136,0.0
2015-11-14,200,105,0.0
2015-11-15,175,115,0.0
2015-11-16,253,135,0.0
2015-11-17,263,163,0.0
2015-11-18,325,161,0.0
2015-11-19,352,124,0.0
2015-11-20,299,144,0.0
2015-11-21,216,118,0.0
2015-11-22,209,118,0.0
2015-11-23,250,132,0.0
2015-11-24,264,114,0.0
2015-11-25,211,120,0.0
2015-11-26,276,118,0.0
2015-11-27,196,90,0.0
2015-11-28,149,83,0.0
2015-11-29,137,100,0.0
2015-11-30,213,116,0.0
2015-12-01,286,112,0.0
2015-12-02,257,143,0.0
2015-12-03,306,102,0.0
2015-12-04,258,130,0.0
2015-12-05,158,88,0.0
2015-12-06,165,107,0.0
2015-12-07,254,135,0.0
2015-12-08,316,144,0.0
2015-12-09,248,141,0.0
2015-12-10,190,82,0.0
2015-12-11,242,82,0.0
2015-12-12,168,89,0.0
2015-12-13,167,119,0.0
2015-12-14,336,128,1.0
2015-12-15,250,142,0.0
2015-12-16,190,84,0.0
2015-12-17,134,80,0.0
2015-12-18,168,70,0.0
2015-12-19,119,46,0.0
2015-12-20,99,60,1.0
2015-12-21,143,62,0.0
2015-12-22,115,53,0.0
2015-12-23,141,59,0.0
2015-12-24,72,32,0.0
2015-12-25,78,43,0.0
2015-12-26,95,51,0.0
2015-12-27,106,66,0.0
2015-12-28,131,61,0.0
2015-12-29,131,58,0.0
2015-12-30,110,46,0.0
2015-12-31,53,23,0.0
2016-01-01,67,31,0.0
2016-01-02,120,62,0.0
2016-01-03,107,60,0.0
2016-01-04,186,80,0.0
2016-01-05,163,88,0.0
2016-01-06,185,92,0.0
2016-01-07,116,63,0.0
2016-01-08,101,45,0.0
2016-01-09,90,61,0.0
2016-01-10,101,56,0.0
2016-01-11,187,84,0.0
2016-01-12,165,112,0.0
2016-01-13,182,72,0.0
2016-01-14,212,104,0.0
2016-01-15,184,92,0.0
2016-01-16,121,69,0.0
2016-01-17,131,81,0.0
2016-01-18,177,96,0.0
2016-01-19,188,91,0.0
2016-01-20,128,70,0.0
2016-01-21,134,44,0.0
2016-01-22,172,81,0.0
2016-01-23,113,53,0.0
2016-01-24,66,46,0.0
2016-01-25,96,40,0.0
2016-01-26,151,76,0.0
2016-01-27,144,102,0.0
2016-01-28,151,56,0.0
2016-01-29,113,40,0.0
2016-01-30,64,38,0.0
2016-01-31,47,35,0.0
2016-02-01,65,25,0.0
2016-02-02,150,58,0.0
2016-02-03,94,38,0.0
2016-02-04,132,38,0.0
2016-02-05,105,49,0.0
2016-02-06,55,21,0.0
2016-02-07,63,22,0.0
2016-02-08,47,29,0.0
2016-02-09,43,28,0.0
2016-02-10,36,23,0.0
2016-02-11,101,49,0.0
2016-02-12,87,19,0.0
2016-02-13,57,36,0.0
2016-02-14,53,30,0.0
2016-02-15,66,35,0.0
2016-02-16,68,36,0.0
2016-02-17,66,25,0.0
2016-02-18,64,38,0.0
2016-02-19,88,42,0.0
2016-02-20,49,12,0.0
2016-02-21,56,60,0.0
2016-02-22,108,66,0.0
2016-02-23,77,27,0.0
2016-02-24,131,46,1.0
2016-02-25,143,55,0.0
2016-02-26,95,44,0.0
2016-02-27,38,28,0.0
2016-02-28,67,29,0.0
2016-02-29,75,36,0.0
2016-03-01,73,34,0.0
2016-03-02,57,40,0.0
2016-03-03,81,33,0.0
2016-03-04,93,50,0.0
2016-03-05,53,25,0.0
2016-03-06,70,33,0.0
2016-03-07,90,46,0.0
2016-03-08,108,50,0.0
2016-03-09,139,47,0.0
2016-03-10,132,76,0.0
2016-03-11,86,62,0.0
2016-03-12,74,33,0.0
2016-03-13,102,48,0.0
2016-03-14,122,33,0.0
2016-03-15,91,30,0.0
2016-03-16,100,39,0.0
2016-03-17,70,30,0.0
2016-03-18,138,36,0.0
2016-03-19,87,44,0.0
2016-03-20,69,44,0.0
2016-03-21,140,63,0.0
2016-03-22,106,47,0.0
2016-03-23,96,60,0.0
2016-03-24,97,40,0.0
2016-03-25,64,24,0.0
2016-03-26,54,39,0.0
2016-03-27,40,34,0.0
2016-03-28,109,50,0.0
2016-03-29,103,56,0.0
2016-03-30,111,41,0.0
2016-03-31,105,57,0.0
2016-04-01,77,33,1.0
2016-04-02,67,28,0.0
2016-04-03,44,34,0.0
2016-04-04,134,72,0.0
2016-04-05,149,75,0.0
2016-04-06,142,64,0.0
2016-04-07,111,56,0.0
2016-04-08,114,49,0.0
2016-04-09,136,47,0.0
2016-04-10,113,65,0.0
2016-04-11,165,77,0.0
2016-04-12,138,56,0.0
2016-04-13,131,61,0.0
2016-04-14,172,66,0.0
2016-04-15,136,90,0.0
2016-04-16,104,50,0.0
2016-04-17,78,40,0.0
2016-04-18,155,64,0.0
2016-04-19,128,60,0.0
2016-04-20,121,41,0.0
2016-04-21,113,66,0.0
2016-04-22,74,27,0.0
2016-04-23,100,67,0.0
2016-04-24,78,54,0.0
2016-04-25,122,58,0.0
2016-04-26,113,53,0.0
2016-04-27,104,48,0.0
2016-04-28,133,69,0.0
