hora,viagens
5,13.0
6,40.0
7,81.0
8,70.0
9,74.0
10,58.0
11,71.0
12,77.0
13,64.0
14,76.0
15,88.0
16,131.0
17,135.0
18,102.0
19,68.0
20,59.0
21,31.0
22,18.0
23,13.0
