hora,viagens
5,12.0
6,35.0
7,42.0
8,72.0
9,92.0
10,83.0
11,64.0
12,58.0
13,32.0
14,36.0
15,53.0
16,140.0
17,147.0
18,134.0
19,80.0
20,66.0
21,39.0
22,19.0
23,3.0
