hora,viagens
5,15.0
6,29.0
7,32.0
8,36.0
9,42.0
10,31.0
11,43.0
12,46.0
13,34.0
14,47.0
15,62.0
16,79.0
17,100.0
18,92.0
19,43.0
20,36.0
21,30.0
22,17.0
23,9.0
