hora,viagens
5,7.0
6,23.0
7,63.0
8,106.0
9,116.0
10,90.0
11,83.0
12,63.0
13,44.0
14,43.0
15,65.0
16,99.0
17,162.0
18,112.0
19,72.0
20,55.0
21,41.0
22,17.0
23,4.0
