hora,viagens
5,31.0
6,47.0
7,87.0
8,84.0
9,63.0
10,61.0
11,66.0
12,82.0
13,68.0
14,82.0
15,100.0
16,165.0
17,189.0
18,156.0
19,104.0
20,95.0
21,58.0
22,21.0
23,27.0
