hora,viagens
5,18.0
6,74.0
7,115.0
8,124.0
9,117.0
10,85.0
11,45.0
12,75.0
13,45.0
14,32.0
15,55.0
16,113.0
17,132.0
18,129.0
19,81.0
20,45.0
21,23.0
22,15.0
23,2.0
