hora,viagens
5,26.0
6,82.0
7,110.0
8,123.0
9,150.0
10,97.0
11,92.0
12,46.0
13,43.0
14,66.0
15,76.0
16,113.0
17,112.0
18,117.0
19,105.0
20,72.0
21,56.0
22,22.0
23,7.0
