hora,viagens
5,5.0
6,36.0
7,67.0
8,58.0
9,67.0
10,63.0
11,76.0
12,54.0
13,57.0
14,53.0
15,62.0
16,94.0
17,121.0
18,100.0
19,101.0
20,58.0
21,50.0
22,23.0
23,20.0
