hora,viagens
5,18.0
6,51.0
7,111.0
8,60.0
9,34.0
10,61.0
11,99.0
12,95.0
13,75.0
14,73.0
15,93.0
16,118.0
17,194.0
18,177.0
19,116.0
20,101.0
21,76.0
22,39.0
23,18.0
