hora,viagens
5,13.0
6,55.0
7,91.0
8,59.0
9,49.0
10,50.0
11,67.0
12,72.0
13,73.0
14,75.0
15,74.0
16,119.0
17,212.0
18,205.0
19,108.0
20,104.0
21,71.0
22,30.0
23,13.0
