hora,viagens
5,12.0
6,28.0
7,49.0
8,38.0
9,34.0
10,26.0
11,24.0
12,34.0
13,40.0
14,31.0
15,40.0
16,66.0
17,106.0
18,114.0
19,76.0
20,54.0
21,46.0
22,6.0
23,3.0
