hora,viagens
5,23.0
6,36.0
7,83.0
8,43.0
9,61.0
10,64.0
11,71.0
12,67.0
13,64.0
14,68.0
15,90.0
16,116.0
17,181.0
18,168.0
19,122.0
20,101.0
21,52.0
22,45.0
23,24.0
