Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Palmácia;SITIO BICA;-4.15;-38.85;1990;2;65.6;0.0;0.0;0.0;0.0;2.6;2.4;0.0;3.2;0.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4;26.0;2.0;0.0;5.0;7.0;9.0;888.0;888.0;888.0
Palmácia;SITIO BICA;-4.15;-38.85;1990;10;13.8;0.0;0.0;2.6;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;2.8;2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
Palmácia;SITIO BICA;-4.15;-38.85;1991;9;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Palmácia;SITIO BICA;-4.15;-38.85;1994;6;315.4;5.5;4.0;7.8;18.0;0.0;7.2;18.4;0.0;0.0;0.0;2.0;0.0;5.0;83.0;1.0;0.0;3.0;2.5;1.4;14.5;3.2;18.3;2.0;30.0;10.0;13.0;12.6;10.0;28.0;15.0;888.0
Palmácia;SITIO BICA;-4.15;-38.85;1994;7;46.6;0.0;0.0;3.8;0.0;0.0;0.0;0.0;8.0;3.6;0.0;0.0;0.0;0.0;0.0;2.2;6.0;10.3;0.0;0.0;5.0;0.0;0.0;0.0;2.0;0.0;3.7;0.2;0.0;1.8;0.0;0.0
Palmácia;SITIO BICA;-4.15;-38.85;1994;12;120.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.2;0.0;8.0;0.0;57.8;7.5;10.0;3.4
Palmácia;SITIO BICA;-4.15;-38.85;1995;12;7.4;0.0;0.0;2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.2;0.0;0.0;0.0
Palmácia;SITIO BICA;-4.15;-38.85;1996;1;190.0;0.0;0.0;0.0;28.0;0.0;40.0;0.0;2.0;0.0;0.0;0.0;0.0;13.0;4.3;11.2;0.0;50.3;4.0;1.2;16.7;0.0;0.0;0.0;10.0;9.3;0.0;0.0;0.0;0.0;0.0;0.0
Palmácia;SITIO BICA;-4.15;-38.85;1996;2;164.7;3.2;26.6;0.0;1.0;1.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;9.0;9.0;0.0;0.0;16.4;0.0;21.0;19.0;0.0;0.0;0.0;10.0;2.0;31.0;2.2;5.7;1.6;888.0;888.0
Palmácia;SITIO BICA;-4.15;-38.85;1996;3;437.5;28.3;0.0;1.0;28.4;31.3;0.0;19.6;0.0;0.0;0.0;6.0;44.7;4.0;14.0;19.4;0.0;83.0;5.2;4.0;10.6;5.0;0.0;30.0;0.0;0.0;1.0;33.0;45.0;6.0;8.0;10.0
