Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Mauriti;MARARUPA;-7.2511111111111;-38.764277777778;1988;3;1.1;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;0.0;0.0;1.1;0.0;0.0;999.0;0.0;0.0;0.0;0.0;0.0
Mauriti;MARARUPA;-7.2511111111111;-38.764277777778;1988;4;259.2;14.4;9.2;13.0;0.0;0.0;0.0;0.0;0.0;6.0;2.2;3.2;0.0;0.0;0.0;56.0;0.0;35.1;999.0;1.0;2.3;21.3;22.4;52.4;1.1;4.3;0.0;0.0;1.2;0.0;14.1;888.0
Mauriti;MARARUPA;-7.2511111111111;-38.764277777778;1988;5;21.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Mauriti;MARARUPA;-7.2511111111111;-38.764277777778;1988;6;4.3;0.0;0.0;0.0;4.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Mauriti;MARARUPA;-7.2511111111111;-38.764277777778;1988;10;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;0.0
Mauriti;MARARUPA;-7.2511111111111;-38.764277777778;1988;12;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;0.0;999.0;999.0;999.0;999.0
Mauriti;MARARUPA;-7.2511111111111;-38.764277777778;1990;1;2.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;2.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0
Mauriti;MARARUPA;-7.2511111111111;-38.764277777778;1990;2;21.1;999.0;999.0;999.0;999.0;999.0;999.0;1.1;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;19.0;1.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;888.0;888.0;888.0
Mauriti;MARARUPA;-7.2511111111111;-38.764277777778;1990;3;28.7;999.0;999.0;11.0;5.3;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;3.3;9.1;999.0
Mauriti;MARARUPA;-7.2511111111111;-38.764277777778;1990;4;177.4;999.0;999.0;5.0;13.2;24.4;15.2;31.4;999.0;12.0;14.3;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;6.1;4.2;0.0;999.0;0.0;7.2;999.0;999.0;999.0;15.0;29.4;999.0;888.0
Mauriti;MARARUPA;-7.2511111111111;-38.764277777778;1990;5;99.6;29.2;62.2;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;8.2;999.0
Mauriti;MARARUPA;-7.2511111111111;-38.764277777778;1990;6;13.5;999.0;12.4;1.1;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;888.0
Mauriti;MARARUPA;-7.2511111111111;-38.764277777778;1991;1;88.4;999.0;999.0;999.0;999.0;999.0;999.0;999.0;12.4;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;3.4;6.4;57.0;999.0;2.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;7.2
Mauriti;MARARUPA;-7.2511111111111;-38.764277777778;1991;2;91.9;10.0;30.4;999.0;999.0;999.0;28.4;9.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;14.1;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;888.0;888.0;888.0
Mauriti;MARARUPA;-7.2511111111111;-38.764277777778;1991;3;132.9;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;12.4;1.0;999.0;7.3;10.3;5.3;999.0;3.0;999.0;12.1;999.0;999.0;999.0;999.0;999.0;999.0;42.5;999.0;999.0;999.0;22.0;17.0;999.0
Mauriti;MARARUPA;-7.2511111111111;-38.764277777778;1991;4;67.4;999.0;999.0;0.3;999.0;999.0;999.0;999.0;999.0;38.2;999.0;999.0;999.0;7.3;0.0;999.0;999.0;999.0;999.0;999.0;1.2;999.0;999.0;999.0;999.0;999.0;999.0;20.4;999.0;999.0;999.0;888.0
Mauriti;MARARUPA;-7.2511111111111;-38.764277777778;1991;5;25.6;9.2;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;16.4;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0
Mauriti;MARARUPA;-7.2511111111111;-38.764277777778;1991;6;9.4;999.0;999.0;999.0;999.0;999.0;999.0;999.0;9.4;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;888.0
Mauriti;MARARUPA;-7.2511111111111;-38.764277777778;1992;3;51.1;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;4.1;999.0;999.0;999.0;28.6;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;18.4;999.0;999.0;999.0
Mauriti;MARARUPA;-7.2511111111111;-38.764277777778;1992;4;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;888.0
