Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Fortaleza;FUNCEME;-3.733;-38.5666944444;1974;1;330.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.4;29.1;0.0;19.2;15.1;1.4;0.0;26.1;2.4;1.2;20.3;15.0;52.9;64.2;17.1;11.3;12.6
Fortaleza;FUNCEME;-3.733;-38.5666944444;1974;2;211.4;51.5;26.8;18.0;1.1;26.9;0.2;6.2;7.5;2.6;0.0;7.5;0.0;4.6;14.2;0.0;0.0;1.4;0.8;0.9;0.1;0.0;11.9;0.0;1.8;0.0;9.6;17.0;0.8;888.0;888.0;888.0
Fortaleza;FUNCEME;-3.733;-38.5666944444;1974;3;597.3;49.0;35.8;43.9;2.8;0.0;32.6;2.6;13.8;83.4;68.2;1.1;53.6;2.9;12.5;29.2;0.1;1.0;7.1;1.2;17.6;22.9;4.6;34.8;3.9;0.0;62.3;0.4;0.0;0.0;0.0;10.0
Fortaleza;FUNCEME;-3.733;-38.5666944444;1974;4;608.0;2.7;1.9;37.2;33.4;0.1;4.4;36.0;3.0;7.7;65.7;2.1;3.0;7.3;2.2;2.7;50.5;42.4;1.8;0.0;0.2;36.4;25.6;5.6;37.6;14.0;30.4;46.2;99.4;7.5;1.0;888.0
Fortaleza;FUNCEME;-3.733;-38.5666944444;1974;5;521.6;147.0;16.7;12.1;4.3;4.0;0.5;0.0;11.6;4.8;11.0;4.1;0.0;15.6;3.0;0.0;1.2;0.0;33.1;3.0;0.0;69.0;9.2;49.2;0.0;34.8;29.2;8.3;12.7;4.2;10.4;22.6
Fortaleza;FUNCEME;-3.733;-38.5666944444;1974;6;221.6;0.5;90.2;0.0;0.3;0.0;0.7;5.4;0.2;0.5;0.0;5.2;0.0;0.0;0.8;36.2;20.6;3.4;0.4;24.0;0.2;1.3;11.2;1.0;0.3;0.0;11.0;0.0;0.4;0.0;7.8;888.0
Fortaleza;FUNCEME;-3.733;-38.5666944444;1974;7;29.3;0.0;0.0;0.0;0.0;0.0;0.0;1.8;0.0;3.3;1.6;0.7;0.7;0.0;0.0;10.2;0.0;4.3;0.0;4.5;0.5;0.5;0.0;0.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;0.0
Fortaleza;FUNCEME;-3.733;-38.5666944444;1974;8;34.5;0.0;24.6;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;1.8;5.0;0.0;0.7;1.2;0.0
Fortaleza;FUNCEME;-3.733;-38.5666944444;1974;9;64.9;0.0;17.1;0.8;0.8;0.3;6.4;0.0;0.0;0.0;0.0;2.8;1.4;0.3;0.6;0.0;0.0;11.1;6.0;0.0;0.0;0.0;1.9;10.4;0.0;0.5;0.0;0.0;2.7;1.6;0.2;888.0
Fortaleza;FUNCEME;-3.733;-38.5666944444;1974;10;23.1;2.2;0.0;0.0;1.0;5.7;3.6;0.0;0.0;0.4;6.4;0.5;0.0;0.3;0.0;0.0;0.8;0.1;0.0;0.0;0.0;0.2;0.2;0.2;0.0;0.0;0.0;0.0;1.5;0.0;0.0;0.0
Fortaleza;FUNCEME;-3.733;-38.5666944444;1974;11;34.9;0.6;0.0;0.3;0.0;0.0;0.6;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.1;0.0;0.0;0.0;1.3;0.9;0.5;0.0;0.1;0.2;3.0;0.0;26.6;888.0
Fortaleza;FUNCEME;-3.733;-38.5666944444;1974;12;74.4;0.6;0.5;0.0;0.0;6.8;19.4;0.9;0.0;0.0;0.0;2.0;0.0;0.0;1.2;0.0;0.3;2.8;0.0;0.4;1.2;1.0;0.4;1.4;1.0;0.7;23.8;0.0;5.0;0.2;0.0;4.8
