Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Lavras da Mangabeira;AMANIUTUBA;-6.6761388888889;-38.88625;1988;2;216.0;0.0;0.0;0.0;86.0;999.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;32.0;0.0;75.0;999.0;999.0;0.0;0.0;0.0;0.0;999.0;18.0;999.0;0.0;0.0;0.0;888.0;888.0
Lavras da Mangabeira;AMANIUTUBA;-6.6761388888889;-38.88625;1988;3;353.0;0.0;0.0;999.0;0.0;0.0;0.0;0.0;0.0;0.0;90.0;999.0;0.0;0.0;120.0;9.0;4.0;0.0;0.0;27.0;0.0;0.0;13.0;33.0;35.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0
Lavras da Mangabeira;AMANIUTUBA;-6.6761388888889;-38.88625;1988;4;153.5;34.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;999.0;0.0;0.0;22.5;0.0;0.0;17.0;999.0;40.0;0.0;0.0;18.0;0.0;0.0;0.0;10.0;888.0
Lavras da Mangabeira;AMANIUTUBA;-6.6761388888889;-38.88625;1988;5;77.0;7.0;12.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Lavras da Mangabeira;AMANIUTUBA;-6.6761388888889;-38.88625;1988;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;888.0
Lavras da Mangabeira;AMANIUTUBA;-6.6761388888889;-38.88625;1988;10;0.0;999.0;999.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Lavras da Mangabeira;AMANIUTUBA;-6.6761388888889;-38.88625;1988;12;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;0.0;999.0;999.0;999.0;999.0;999.0;0.0;999.0;999.0;999.0;999.0;999.0
Lavras da Mangabeira;AMANIUTUBA;-6.6761388888889;-38.88625;1990;2;38.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;30.0;999.0;8.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;888.0;888.0;888.0
Lavras da Mangabeira;AMANIUTUBA;-6.6761388888889;-38.88625;1990;3;51.0;17.0;999.0;14.0;999.0;7.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;13.0;999.0;999.0;999.0;999.0
Lavras da Mangabeira;AMANIUTUBA;-6.6761388888889;-38.88625;1990;4;188.0;999.0;999.0;999.0;20.0;19.0;999.0;30.0;7.0;89.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;0.0;999.0;0.0;999.0;999.0;999.0;3.0;20.0;999.0;999.0;888.0
