Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Quixeramobim;URUQUE;-5.1493055555556;-39.178444444444;1988;2;0.0;0.0;0.0;0.0;999.0;999.0;0.0;0.0;999.0;0.0;0.0;0.0;0.0;0.0;0.0;999.0;0.0;0.0;0.0;999.0;0.0;999.0;999.0;999.0;999.0;999.0;0.0;0.0;0.0;999.0;888.0;888.0
Quixeramobim;URUQUE;-5.1493055555556;-39.178444444444;1988;3;54.0;0.0;999.0;999.0;999.0;0.0;0.0;999.0;0.0;0.0;999.0;999.0;0.0;999.0;999.0;0.0;0.0;999.0;0.0;999.0;0.0;999.0;2.0;999.0;18.0;999.0;13.0;0.0;999.0;999.0;0.0;21.0
Quixeramobim;URUQUE;-5.1493055555556;-39.178444444444;1988;4;178.4;999.0;35.0;0.0;999.0;999.0;999.0;0.0;11.0;0.0;999.0;0.0;6.0;999.0;999.0;12.0;999.0;23.4;999.0;999.0;999.0;999.0;16.0;999.0;999.0;47.0;0.0;0.0;0.0;28.0;999.0;888.0
Quixeramobim;URUQUE;-5.1493055555556;-39.178444444444;1988;5;141.9;999.0;10.0;50.0;999.0;36.4;999.0;17.0;0.0;0.0;0.0;999.0;0.0;0.0;0.0;0.0;16.0;999.0;0.0;0.0;0.0;0.0;0.0;12.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999.0
Quixeramobim;URUQUE;-5.1493055555556;-39.178444444444;1988;6;0.0;0.0;0.0;0.0;0.0;0.0;999.0;0.0;0.0;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;888.0
Quixeramobim;URUQUE;-5.1493055555556;-39.178444444444;1988;10;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;0.0
Quixeramobim;URUQUE;-5.1493055555556;-39.178444444444;1989;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999.0;999.0;0.0;0.0;0.0;0.0;999.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999.0;0.0;0.0;0.0;0.0;0.0;999.0;999.0;0.0;0.0
Quixeramobim;URUQUE;-5.1493055555556;-39.178444444444;1989;2;0.0;0.0;0.0;0.0;0.0;0.0;999.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999.0;0.0;0.0;888.0;888.0;888.0
Quixeramobim;URUQUE;-5.1493055555556;-39.178444444444;1989;3;0.0;999.0;0.0;0.0;0.0;0.0;0.0;0.0;999.0;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0
Quixeramobim;URUQUE;-5.1493055555556;-39.178444444444;1989;7;0.0;0.0;0.0;0.0;999.0;0.0;0.0;0.0;999.0;999.0;999.0;0.0;0.0;0.0;999.0;999.0;999.0;0.0;999.0;999.0;0.0;0.0;999.0;999.0;0.0;0.0;0.0;0.0;999.0;999.0;999.0;0.0
Quixeramobim;URUQUE;-5.1493055555556;-39.178444444444;1989;8;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;0.0;0.0;999.0;999.0;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0
Quixeramobim;URUQUE;-5.1493055555556;-39.178444444444;1990;3;0.0;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0
Quixeramobim;URUQUE;-5.1493055555556;-39.178444444444;1991;1;46.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;46.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0
Quixeramobim;URUQUE;-5.1493055555556;-39.178444444444;1992;4;0.6;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;0.6;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;888.0
