Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Amontada;SANTA CRUZ;-3.45222222222;-39.7768611111;2014;4;48.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.8;0.0;0.0;10.4;0.0;17.8;0.0;8.8;888.0
Amontada;SANTA CRUZ;-3.45222222222;-39.7768611111;2014;5;155.6;0.0;0.0;0.0;0.0;16.4;0.0;0.0;0.0;0.0;57.0;30.0;17.0;0.0;0.0;4.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;14.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Amontada;SANTA CRUZ;-3.45222222222;-39.7768611111;2014;6;0.0;0.0;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;888.0
Amontada;SANTA CRUZ;-3.45222222222;-39.7768611111;2015;1;17.8;0.0;0.0;0.0;0.0;12.4;5.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Amontada;SANTA CRUZ;-3.45222222222;-39.7768611111;2015;2;38.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.3;21.0;0.0;0.0;8.6;0.0;0.0;0.0;0.0;0.0;888.0;888.0;888.0
Amontada;SANTA CRUZ;-3.45222222222;-39.7768611111;2015;3;117.6;0.0;0.0;20.8;8.8;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.0;8.8;0.0;0.0;22.2;0.0;0.0;0.0;0.0;5.0
Amontada;SANTA CRUZ;-3.45222222222;-39.7768611111;2015;4;185.2;23.0;0.0;0.0;17.0;18.2;0.0;2.2;28.6;4.3;31.0;3.0;1.5;6.0;11.2;0.0;0.0;0.0;10.0;6.2;0.0;0.0;0.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Amontada;SANTA CRUZ;-3.45222222222;-39.7768611111;2015;5;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0
Amontada;SANTA CRUZ;-3.45222222222;-39.7768611111;2015;6;13.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.3;0.0;0.0;888.0
Amontada;SANTA CRUZ;-3.45222222222;-39.7768611111;2015;7;43.3;0.0;0.0;9.2;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Amontada;SANTA CRUZ;-3.45222222222;-39.7768611111;2015;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
