id,lat,lon,program,neighborhood,etapa,coordinates,new_neighborhood
56,-3.7506302000000002,-38.531948,Bicicletar,Fátima,4,POINT (-38.531948 -3.7506302),FATIMA
57,-3.7577629999999997,-38.531636999999996,Bicicletar,Fátima,4,POINT (-38.531637 -3.757763),FATIMA
58,-3.7577769,-38.533017,Bicicletar,Fátima,4,POINT (-38.533017 -3.7577769),PARREAO
59,-3.7408449999999998,-38.525714,Bicicletar,José Bonifácio,4,POINT (-38.525714 -3.740845),JOSE BONIFACIO
60,-3.7394022000000002,-38.52129,Bicicletar,Centro,4,POINT (-38.52129 -3.7394022),JOAQUIM TAVORA
61,-3.7439627,-38.48567,Bicicletar,Cocó,5,POINT (-38.48567 -3.7439627),COCO
62,-3.7463129,-38.479954,Bicicletar,Cocó,5,POINT (-38.479954 -3.7463129),COCO
63,-3.7415488,-38.481387,Bicicletar,Papicu,5,POINT (-38.481387 -3.7415488),PAPICU
64,-3.7427627999999995,-38.478428,Bicicletar,Manoel Dias Branco / Cocó / Papicu,5,POINT (-38.478428 -3.7427628),COCO
65,-3.7454786,-38.475818,Bicicletar,Cocó,5,POINT (-38.475818 -3.7454786),COCO
66,-3.7473294999999998,-38.470344,Bicicletar,Cocó,5,POINT (-38.470344 -3.7473295),COCO
67,-3.7483952000000005,-38.471426,Bicicletar,Planalto Aldeota / Cidade 2000 / Cocó,5,POINT (-38.471426 -3.7483952),COCO
68,-3.7404568,-38.476476,Bicicletar,Papicu,5,POINT (-38.476476 -3.7404568),PAPICU
69,-3.7417049,-38.473321,Bicicletar,Papicu,5,POINT (-38.473321 -3.7417049),PAPICU
70,-3.7579316,-38.488334,Bicicletar,Edson Queiroz,5,POINT (-38.488334 -3.7579316),PATRIOLINO RIBEIRO
71,-3.7467183,-38.497395000000004,Bicicletar,Dionísio Torres,5,POINT (-38.497395 -3.7467183),DIONISIO TORRES
72,-3.7630906000000004,-38.483121999999995,Bicicletar,Edson Queiroz,5,POINT (-38.48312199999999 -3.7630906),PATRIOLINO RIBEIRO
73,-3.7640657999999996,-38.486035,Bicicletar,Patriolino Ribeiro,5,POINT (-38.486035 -3.7640658),PATRIOLINO RIBEIRO
74,-3.7712491999999997,-38.481941,Bicicletar,Edson Queiroz,5,POINT (-38.481941 -3.7712492),EDSON QUEIROZ
75,-3.7436466,-38.495549,Bicicletar,Aldeota,5,POINT (-38.495549 -3.7436466),ALDEOTA
76,-3.7742715,-38.481848,Bicicletar,Eng. Luciano Cavalcante,5,POINT (-38.481848 -3.7742715),ENG LUCIANO CAVALCANTE
77,-3.736277,-38.531469,Bicicletar,José Bonifácio,5,POINT (-38.531469 -3.736277),JOSE BONIFACIO
78,-3.7282523999999997,-38.545217,Bicicletar,Jacarecanga,5,POINT (-38.545217 -3.7282524),FARIAS BRITO
79,-3.7236534,-38.541337,Bicicletar,Jacarecanga,5,POINT (-38.541337 -3.7236534),CENTRO
80,-3.7260305000000002,-38.540672,Bicicletar,Jacarecanga,5,POINT (-38.540672 -3.7260305),JACARECANGA
81,-8.108176799999999,-34.92279,Bicicletar,São João do Tauape,0,POINT (-34.92279 -8.108176799999999),São João do Tauape
501,-3.7263559999999996,-38.558138,Minibicicletar,Monte Castelo,0,POINT (-38.558138 -3.726356),SAO GERARDO
502,-3.7199961000000004,-38.511796000000004,Minibicicletar,Praia de Iracema,0,POINT (-38.511796 -3.7199961),PRAIA DE IRACEMA
503,-3.7321623,-38.509917,Minibicicletar,Aldeota,0,POINT (-38.509917 -3.7321623),ALDEOTA
504,-3.7399940000000003,-38.498785999999996,Minibicicletar,Aldeota,0,POINT (-38.498786 -3.739994),ALDEOTA
505,-3.8010878,-38.488875,Minibicicletar,Cidade dos Funcionários,0,POINT (-38.488875 -3.8010878),CIDADE DOS FUNCIONARIOS
