,id,stationName,lat,lon,program,adress,neighborhood,nbOnMap
38,39,Praça Monte Castelo,-3.7284071,-38.550369,Bicicletar,"Praça João Pontes, 643 / Esquina Rua Antônio Drumond",Fátima,
39,40,Frangolândia Sgt. Hermínio,-3.7249075,-38.551085,Bicicletar,"Rua Padre Anchieta, em frente ao Supermercado Frangolândia / Esquina Avenida Sargento Hermínio Sampaio",Jacarecanga,
40,41,Érico Mota,-3.7354169,-38.563427,Bicicletar,"Avenida Bezerra de Menezes, 2080 / Esquina Rua Eduardo Barros Leal",São Geraldo,São Geraldo
41,42,North Shopping,-3.7359254,-38.566853,Bicicletar,"Avenida Bezerra de Menezes, 2500",Farias Brito,Presidente Kennedy
42,43,Campus do Pici - UFC,-3.738618,-38.569411,Bicicletar,"Rua Acesso Público, próximo à entrada da UFC / Esquina com a Avenida Humberto Monte",Pici,Pici
43,44,Igreja Redonda,-3.7410188,-38.560732,Bicicletar,"Rua Professor Lino Encarnação, em frente à Paróquia de Santo Afonso – Igreja Redonda / Esquina Avenida Jovita Feitosa",Parquelândia,Amadeu Furtado
44,45,Regional 3,-3.739702,-38.556388,Bicicletar,"Rua Dom Lino, 590 / Esquina Avenida Jovita Feitosa, lateral da Secretaria Regional 3",Amadeu Furtado,Parquelândia
45,46,Campus Porangabuçu - UFC,-3.7489708,-38.553127,Bicicletar,"Rua Coronel Nunes de Melo, 1315 (UFC) / Esquina Rua Professor Costa Mendes",Rodolfo Teófilo,
46,47,Hospital Walter Cantídio,-3.7489684,-38.550904,Bicicletar,"Rua Capitão Francisco Pedro, número 1290 (Hospital das Clinicas) / Esquina com a Rua Alexandre Baraúna",Rodolfo Teófilo,
47,48,Faculdade Cearense,-3.7477925,-38.545572,Bicicletar,"Rua Major Weyne, no acesso a Faculdade Cearense / Esquina com a Avenida João Pessoa",Damas,
48,49,Costa Mendes,-3.7553085,-38.546358,Bicicletar,"Rua Frei Orlando, 684 / EsquinaRua Costa Mendes",Bom Futuro,
49,50,Igreja de Nazaré,-3.7565373,-38.540685,Bicicletar,"Rua Padre José Piamarta, 128 / Esquina Rua André Chaves",Jardim America,
50,51,Casa Freitas Montese,-3.7588242,-38.543794,Bicicletar,"Rua Afrodísio Gondim, 622 (Sanduíches Bebelu) / Esquina Avenida Professor Gomes de Matos",Montese,
51,52,Esplanada Montese,-3.7627184,-38.546939,Bicicletar,"Avenida Professor Gomes de Matos, 1157 / Esquina Rua Sátiro Dias",Montese,
52,53,Extra Aguanambi,-3.7486043,-38.523923,Bicicletar,"Avenida Aguanambi, em frente ao EXTRA / Esquina com a Rua Coronel Pergentino Ferreira",Fátima,
53,54,Igreja de Fátima,-3.7523403,-38.52526,Bicicletar,"Rua Dom Sebastião Leme, em frente à Praça Nossa Senhora de Fátima / Esquina Avenida 13 de Maio",Fátima,
54,55,Banco do Brasil - 13 de Maio,-3.7483832,-38.53024,Bicicletar,"Rua Padre Barbosa de Jesus, oposto ao número 1345 / Esquina com a Avenida 13 de Maio",Fátima,
55,56,Centro de Humanidades - UECE,-3.7506302,-38.531948,Bicicletar,"Rua Ministro Joaquim Bastos, em frente ao Centro de Humanidade / Esquina Rua Monsenhor Liberato",Fátima,
56,57,Rodoviária,-3.757763,-38.531637,Bicicletar,"Avenida Deputado Oswaldo Studart, 1630 (Terminal Rodoviário Engenheiro José Thomé) / Esquina Avenida Borges de Melo",Fátima,
57,58,Contax Borges de Melo,-3.7577769,-38.533017,Bicicletar,"Rua Moreira Gomes, em frente ao Prédio da OI – CONTAX / Esquina Avenida Borges de Melo",Fátima,
58,59,Jornal O Povo,-3.740845,-38.525714,Bicicletar,"Praça do Ciclista, na Rua Lourenço Feitosa / Esquina com a Rua Joaquim Magalhães",José Bonifácio,
59,60,Salesiano Dom Bosco,-3.7394022,-38.52129,Bicicletar,"Rua J da Penha, 984 / Esquina Rua Antônio Sales",Centro,
60,61,Anfiteatro Parque do Cocó,-3.7439627,-38.48567,Bicicletar,"Avenida Padre Antônio Tomás, em frente ao Anfiteatro do Cocó / Esquina Rua Valdetário Mota",Cocó,
61,62,Portugália,-3.7463129,-38.479954,Bicicletar,"Rua Professor Otávio Lobo, oposto ao Portugália Shopping / Esquina Avenida Padre Antônio Tomás",Cocó,
62,63,Júlio Azevedo,-3.7415488,-38.481387,Bicicletar,"Rua Júlio Azevedo, em frente ao Mercadinhos São Luiz / Esquina Avenida Santos Dumont",Papicu,
63,64,Otávio Lobo,-3.7427628,-38.478428,Bicicletar,"Avenida Santos Dumont, 6050 / Entre a Rua Professor Otávio Lobo e a Rua Batista de Oliveira",Manoel Dias Branco / Cocó / Papicu,
64,65,Praça Martins Dourado,-3.7454786,-38.475818,Bicicletar,"Rua Almeida Prado, no estacionamento da Praça Martins Dourado / Esquina Rua Doutor Gilberto Studart",Cocó,
65,66,Francisco Matos,-3.7473295,-38.470344,Bicicletar,"Rua Doutor Francisco Matos, em frente a Praça s/nome, próximo ao chafariz desativado / Esquina Rua Doutor Gilberto Studart",Cocó,
66,67,Cidade 2000,-3.7483952,-38.471426,Bicicletar,"Rua Andrade Furtado, 2105 (Condomínio Cidade Leste) / Na Praça dos Freteiros",Planalto Aldeota / Cidade 2000 / Cocó,
67,68,Hospital Geral de Fortaleza,-3.7404568,-38.476476,Bicicletar,"Rua André Dall´olio, em frente ao Hospital Geral de Fortaleza / Esquina Rua Professor Otávio Lobo",Papicu,
68,69,Shopping RioMar,-3.7417049,-38.473321,Bicicletar,"Rua Des. Lauro Nogueira, em frente ao Shopping Rio Mar / Oposto ao Coelce - Subestação Papicu",Papicu,
69,70,Shopping Iguatemi,-3.7579316,-38.488334,Bicicletar,"Avenida Coronel Miguel Dias, lateral do Shopping Ouro Verde / Esquina com a Avenida Washington Soares",Edson Queiroz,
70,71,Coronel Linhares,-3.7467183,-38.497395,Bicicletar,"Rua Coronel Linhares, lateral da Farmácia Extrafarma / Esquina Avenida Antônio Sales",Dionísio Torres,
