year,month,day,pr
2015,03,26,0.0
2015,03,27,16.0
2015,03,28,0.0
2015,03,29,0.0
2015,03,30,0.0
2015,03,31,58.0
2015,04,01,26.0
2015,04,02,7.0
2015,04,03,0.0
2015,04,04,28.0
2015,04,05,11.0
2015,04,06,0.0
2015,04,07,0.0
2015,04,08,0.0
2015,04,09,26.0
2015,04,10,4.0
2015,04,11,7.0
2015,04,12,0.0
2015,04,13,18.0
2015,04,14,60.0
2015,04,15,40.0
2015,04,16,0.0
2015,04,17,0.0
2015,04,18,4.0
2015,04,19,5.0
2015,04,20,0.0
2015,04,21,7.4
2015,04,22,0.0
2015,04,23,23.4
2015,04,24,41.0
2015,04,25,60.0
2015,04,26,0.0
2015,04,27,1.0
2015,04,28,0.0
2015,04,29,8.0
2015,04,30,13.0
2015,05,01,0.0
2015,05,02,0.0
2015,05,03,0.0
2015,05,04,4.6
2015,05,05,0.0
2015,05,06,0.0
2015,05,07,6.0
2015,05,08,7.2
2015,05,09,8.2
2015,05,10,0.0
2015,05,11,7.4
2015,05,12,0.0
2015,05,13,0.0
2015,05,14,2.0
2015,05,15,0.0
2015,05,16,0.0
2015,05,17,0.0
2015,05,18,0.0
2015,05,19,0.0
2015,05,20,0.0
2015,05,21,0.0
2015,05,22,2.4
2015,05,23,6.0
2015,05,24,0.0
2015,05,25,0.0
2015,05,26,0.0
2015,05,27,53.0
2015,05,28,4.2
2015,05,29,0.0
2015,05,30,0.0
2015,05,31,0.0
2015,06,01,0.0
2015,06,02,0.0
2015,06,03,18.6
2015,06,04,20.0
2015,06,05,10.2
2015,06,06,1.2
2015,06,07,0.0
2015,06,08,11.2
2015,06,09,0.0
2015,06,10,0.0
2015,06,11,0.0
2015,06,12,0.0
2015,06,13,2.4
2015,06,14,0.0
2015,06,15,0.0
2015,06,16,0.0
2015,06,17,0.0
2015,06,18,0.0
2015,06,19,9.0
2015,06,20,0.0
2015,06,21,0.0
2015,06,22,0.0
2015,06,23,3.0
2015,06,24,0.0
2015,06,25,0.0
2015,06,26,0.0
2015,06,27,0.0
2015,06,28,0.0
2015,06,29,10.2
2015,06,30,13.6
2015,07,01,0.0
2015,07,02,0.0
2015,07,03,11.0
2015,07,04,7.4
2015,07,05,65.0
2015,07,06,0.0
2015,07,07,0.0
2015,07,08,15.4
2015,07,09,0.0
2015,07,10,0.0
2015,07,11,0.0
2015,07,12,0.0
2015,07,13,0.0
2015,07,14,0.0
2015,07,15,0.0
2015,07,16,0.0
2015,07,17,80.0
2015,07,18,9.0
2015,07,19,0.0
2015,07,20,0.0
2015,07,21,0.0
2015,07,22,8.0
2015,07,23,0.0
2015,07,24,0.0
2015,07,25,0.0
2015,07,26,0.0
2015,07,27,
2015,07,28,
2015,07,29,0.0
2015,07,30,0.0
2015,07,31,0.0
2015,08,01,5.4
2015,08,02,0.0
2015,08,03,0.0
2015,08,04,0.0
2015,08,05,0.0
2015,08,06,0.0
2015,08,07,0.0
2015,08,08,0.0
2015,08,09,0.0
2015,08,10,0.0
2015,08,11,0.0
2015,08,12,0.0
2015,08,13,0.0
2015,08,14,0.0
2015,08,15,0.0
2015,08,16,0.0
2015,08,17,0.0
2015,08,18,0.0
2015,08,19,0.0
2015,08,20,0.0
2015,08,21,0.0
2015,08,22,0.0
2015,08,23,0.0
2015,08,24,0.0
2015,08,25,0.0
2015,08,26,0.0
2015,08,27,0.0
2015,08,28,0.0
2015,08,29,0.0
2015,08,30,0.0
