,M_0,F_0,O_0,M_3,F_3,O_3,M_4,F_4,O_4,weekday,holiday,workingday,avg_pr,max_pr,min_pr,avg_tmp,min_tmp,max_tmp
2015-08-19,1113.0,573.0,1.0,125.0,51.0,0.0,1.0,1.0,0.0,2,0,1,0.0,0.0,0.0,26.404,22.3,30.549999999999997
2015-08-20,1150.0,524.0,1.0,142.0,49.0,0.0,0.0,0.0,0.0,3,0,1,0.0,0.0,0.0,26.311999999999998,22.75,31.0
2015-08-21,1137.0,543.0,1.0,144.0,64.0,0.0,0.0,0.0,0.0,4,0,1,0.0,0.0,0.0,,22.6,30.85
2015-08-22,715.0,444.0,3.0,69.0,39.0,0.0,0.0,0.0,0.0,5,0,1,8.05,11.2,0.0,26.625,23.25,30.5
2015-08-23,765.0,632.0,2.0,78.0,70.0,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,0.0,26.963,24.450000000000003,30.25
2015-08-24,1079.0,482.0,0.0,123.0,71.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,26.7,23.9,30.4
2015-08-25,1171.0,576.0,2.0,113.0,63.0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,26.975,23.75,30.799999999999997
2015-08-26,1144.0,580.0,1.0,132.0,57.0,0.0,0.0,0.0,0.0,2,0,1,0.3,1.2,0.0,27.033,24.45,30.75
2015-08-27,1183.0,521.0,0.0,164.0,84.0,0.0,0.0,0.0,0.0,3,0,1,0.0,0.0,0.0,26.921,24.55,30.4
2015-08-28,1026.0,521.0,0.0,127.0,58.0,0.0,0.0,0.0,0.0,4,0,1,0.0,0.0,0.0,26.833000000000002,23.25,30.799999999999997
2015-08-29,780.0,422.0,1.0,109.0,54.0,0.0,0.0,0.0,0.0,5,0,1,0.0,0.0,0.0,26.508000000000003,23.0,31.0
2015-08-30,847.0,615.0,1.0,132.0,67.0,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,0.0,26.846,23.049999999999997,31.35
2015-08-31,279.0,128.0,1.0,71.0,26.0,0.0,24.0,14.0,0.0,0,0,1,0.0,0.0,0.0,27.041999999999998,23.6,31.45
2015-09-01,530.0,261.0,1.0,79.0,48.0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,26.967,24.3,30.4
2015-09-02,985.0,445.0,2.0,123.0,35.0,0.0,0.0,1.0,0.0,2,0,1,2.075,5.4,0.0,,22.9,30.5
2015-09-03,1065.0,493.0,2.0,97.0,61.0,0.0,1.0,0.0,0.0,3,0,1,0.15,0.5,0.0,26.704,23.85,30.549999999999997
2015-09-04,970.0,475.0,2.0,122.0,48.0,0.0,0.0,0.0,0.0,4,0,1,0.0,0.0,0.0,27.008000000000003,24.8,30.85
2015-09-05,713.0,419.0,1.0,77.0,54.0,0.0,0.0,1.0,0.0,5,0,1,0.25,0.8,0.0,26.866999999999997,23.9,30.9
2015-09-06,727.0,635.0,3.0,88.0,73.0,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,0.0,26.758000000000003,24.85,30.6
2015-09-07,714.0,490.0,3.0,64.0,41.0,2.0,1.0,0.0,0.0,0,0,1,0.0,0.0,0.0,27.066999999999997,24.75,31.0
2015-09-08,1021.0,525.0,1.0,158.0,81.0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,26.863000000000003,24.3,30.75
2015-09-09,982.0,468.0,2.0,139.0,86.0,0.0,1.0,0.0,0.0,2,0,1,0.275,0.6,0.0,26.896,24.1,31.5
2015-09-10,1093.0,542.0,1.0,137.0,66.0,0.0,0.0,0.0,0.0,3,0,1,0.0,0.0,0.0,27.508000000000003,23.8,32.2
2015-09-11,1019.0,430.0,1.0,140.0,61.0,1.0,1.0,0.0,0.0,4,0,1,0.0,0.0,0.0,27.504,23.25,31.950000000000003
2015-09-12,804.0,455.0,1.0,81.0,39.0,0.0,0.0,1.0,0.0,5,0,1,0.05,0.2,0.0,27.579,25.0,30.9
2015-09-13,777.0,700.0,1.0,110.0,74.0,0.0,0.0,0.0,0.0,6,0,0,1.4000000000000001,4.4,0.0,26.558000000000003,23.45,30.55
2015-09-14,1120.0,463.0,0.0,125.0,44.0,0.0,0.0,0.0,0.0,0,0,1,0.225,0.9,0.0,26.704,23.95,31.15
2015-09-15,1199.0,523.0,2.0,144.0,91.0,1.0,1.0,0.0,0.0,1,0,1,0.0,0.0,0.0,27.561999999999998,24.95,31.8
2015-09-16,1068.0,557.0,0.0,119.0,60.0,0.0,0.0,0.0,0.0,2,0,1,0.0,0.0,0.0,27.463,24.15,31.75
2015-09-17,1066.0,510.0,4.0,113.0,88.0,0.0,0.0,0.0,0.0,3,0,1,0.0,0.0,0.0,27.154,23.25,31.4
2015-09-18,1018.0,494.0,2.0,113.0,46.0,0.0,0.0,0.0,0.0,4,0,1,1.575,5.7,0.0,26.971,23.3,31.45
2015-09-19,747.0,421.0,2.0,92.0,32.0,0.0,2.0,0.0,0.0,5,0,1,0.0,0.0,0.0,27.304000000000002,24.6,31.1
2015-09-20,859.0,685.0,0.0,113.0,93.0,0.0,0.0,1.0,0.0,6,0,0,0.0,0.0,0.0,26.858,24.700000000000003,30.799999999999997
2015-09-21,997.0,474.0,0.0,113.0,65.0,0.0,1.0,0.0,0.0,0,0,1,0.6749999999999999,2.3,0.0,26.908,23.55,30.9
2015-09-22,1193.0,566.0,2.0,120.0,55.0,0.0,0.0,0.0,0.0,1,0,1,0.05,0.2,0.0,27.070999999999998,24.049999999999997,31.25
2015-09-23,1072.0,529.0,0.0,136.0,71.0,0.0,1.0,0.0,0.0,2,0,1,0.0,0.0,0.0,27.121,23.2,31.45
2015-09-24,1106.0,519.0,3.0,177.0,71.0,1.0,0.0,0.0,0.0,3,0,1,0.0,0.0,0.0,27.616999999999997,25.05,31.55
2015-09-25,968.0,461.0,3.0,147.0,77.0,0.0,0.0,0.0,0.0,4,0,1,0.25,0.5,0.0,27.033,23.8,31.35
2015-09-26,803.0,432.0,3.0,104.0,49.0,1.0,0.0,0.0,0.0,5,0,1,0.0,0.0,0.0,27.191999999999997,24.7,31.45
2015-09-27,813.0,702.0,3.0,100.0,74.0,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,0.0,27.188000000000002,24.2,31.6
2015-09-28,987.0,485.0,3.0,96.0,41.0,0.0,0.0,2.0,0.0,0,0,1,0.0,0.0,0.0,27.183000000000003,24.25,31.4
2015-09-29,1084.0,493.0,6.0,102.0,65.0,0.0,1.0,0.0,0.0,1,0,1,0.0,0.0,0.0,27.225,24.7,31.35
2015-09-30,1126.0,515.0,4.0,133.0,82.0,1.0,0.0,0.0,0.0,2,0,1,0.0,0.0,0.0,27.5,25.0,31.450000000000003
2015-10-01,1201.0,510.0,4.0,126.0,74.0,0.0,0.0,1.0,0.0,3,0,1,1.4,5.6,0.0,27.088,22.9,31.95
2015-10-02,1088.0,490.0,5.0,121.0,48.0,0.0,0.0,1.0,0.0,4,0,1,0.0,0.0,0.0,27.654,24.950000000000003,31.9
2015-10-03,785.0,451.0,6.0,62.0,50.0,0.0,1.0,1.0,0.0,5,0,1,0.0,0.0,0.0,27.320999999999998,23.95,31.45
2015-10-04,763.0,623.0,5.0,80.0,65.0,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,0.0,27.271,23.8,31.6
2015-10-05,1038.0,494.0,6.0,104.0,53.0,0.0,0.0,1.0,0.0,0,1,0,0.0,0.0,0.0,26.945999999999998,23.35,32.05
2015-10-06,1112.0,495.0,4.0,119.0,57.0,0.0,1.0,0.0,0.0,1,0,1,0.0,0.0,0.0,27.425,24.55,32.45
2015-10-07,1126.0,528.0,3.0,118.0,52.0,0.0,0.0,0.0,0.0,2,0,1,0.0,0.0,0.0,27.608,24.85,31.4
2015-10-08,1113.0,485.0,0.0,111.0,55.0,0.0,0.0,1.0,0.0,3,0,1,0.0,0.0,0.0,27.533,25.15,31.299999999999997
2015-10-09,981.0,436.0,4.0,129.0,59.0,0.0,1.0,0.0,0.0,4,0,1,0.0,0.0,0.0,27.275,24.1,31.35
2015-10-10,708.0,389.0,1.0,69.0,35.0,0.0,1.0,0.0,0.0,5,0,1,0.0,0.0,0.0,27.329,24.450000000000003,31.299999999999997
2015-10-11,729.0,589.0,1.0,75.0,64.0,0.0,1.0,0.0,0.0,6,0,0,0.0,0.0,0.0,27.429000000000002,24.1,31.65
2015-10-12,738.0,599.0,0.0,93.0,61.0,0.0,1.0,0.0,0.0,0,0,1,0.0,0.0,0.0,27.613000000000003,23.95,32.0
2015-10-13,1079.0,511.0,4.0,139.0,55.0,0.0,0.0,1.0,0.0,1,0,1,0.0,0.0,0.0,27.863000000000003,24.85,32.7
2015-10-14,1120.0,515.0,5.0,125.0,58.0,0.0,0.0,0.0,0.0,2,0,1,0.0,0.0,0.0,28.046,25.25,32.7
2015-10-15,1030.0,486.0,4.0,113.0,51.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0,27.633000000000003,23.8,32.4
2015-10-16,1065.0,509.0,1.0,127.0,52.0,0.0,0.0,1.0,0.0,4,0,1,0.0,0.0,0.0,27.721,23.15,31.8
2015-10-17,707.0,365.0,0.0,77.0,40.0,0.0,0.0,0.0,0.0,5,1,0,0.0,0.0,0.0,27.517,23.8,31.950000000000003
2015-10-18,746.0,579.0,0.0,97.0,62.0,0.0,1.0,0.0,0.0,6,0,0,0.0,0.0,0.0,27.241999999999997,23.2,32.15
2015-10-19,943.0,481.0,1.0,78.0,62.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,27.454,24.85,31.85
2015-10-20,1142.0,472.0,1.0,132.0,61.0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,27.529,24.75,31.799999999999997
2015-10-21,1072.0,514.0,1.0,107.0,61.0,0.0,0.0,0.0,0.0,2,0,1,0.0,0.0,0.0,27.454,25.15,32.0
2015-10-22,1051.0,490.0,1.0,153.0,85.0,0.0,2.0,0.0,0.0,3,0,1,2.5,10.0,0.0,27.416999999999998,24.85,31.65
2015-10-23,1051.0,492.0,1.0,162.0,77.0,0.0,1.0,1.0,0.0,4,0,1,0.0,0.0,0.0,27.386999999999997,24.799999999999997,31.55
2015-10-24,731.0,385.0,2.0,117.0,65.0,0.0,0.0,0.0,0.0,5,0,1,0.0,0.0,0.0,27.054000000000002,23.1,31.75
2015-10-25,772.0,586.0,0.0,126.0,86.0,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,0.0,26.967,23.15,32.1
2015-10-26,1043.0,481.0,0.0,187.0,83.0,0.0,0.0,0.0,0.0,0,0,1,0.3,1.2,0.0,27.488000000000003,23.9,32.5
2015-10-27,1138.0,491.0,0.0,225.0,79.0,0.0,2.0,0.0,0.0,1,0,1,0.0,0.0,0.0,27.55,24.9,31.5
2015-10-28,1125.0,527.0,2.0,209.0,97.0,0.0,2.0,0.0,0.0,2,1,0,0.0,0.0,0.0,27.511999999999997,24.85,31.8
2015-10-29,1084.0,509.0,0.0,204.0,91.0,0.0,3.0,1.0,0.0,3,0,1,0.0,0.0,0.0,27.525,24.75,31.65
2015-10-30,1071.0,515.0,0.0,172.0,60.0,0.0,1.0,1.0,0.0,4,0,1,0.0,0.0,0.0,27.136999999999997,24.049999999999997,31.450000000000003
2015-10-31,842.0,489.0,1.0,130.0,60.0,1.0,1.0,0.0,0.0,5,0,1,0.275,1.1,0.0,26.916999999999998,23.45,31.4
2015-11-01,738.0,538.0,2.0,110.0,95.0,0.0,0.0,1.0,0.0,6,0,0,0.0,0.0,0.0,27.366999999999997,24.0,31.700000000000003
2015-11-02,926.0,682.0,0.0,115.0,77.0,0.0,1.0,1.0,0.0,0,0,1,0.05,0.2,0.0,27.271,23.3,32.1
2015-11-03,1152.0,587.0,0.0,203.0,85.0,0.0,1.0,0.0,0.0,1,0,1,0.0,0.0,0.0,27.733,23.95,32.8
2015-11-04,1237.0,650.0,1.0,200.0,121.0,0.0,1.0,0.0,0.0,2,0,1,0.0,0.0,0.0,27.829,23.2,32.9
2015-11-05,1357.0,662.0,0.0,247.0,113.0,0.0,1.0,0.0,0.0,3,0,1,0.0,0.0,0.0,27.892,25.1,32.5
2015-11-06,1262.0,575.0,0.0,266.0,122.0,0.0,1.0,0.0,0.0,4,0,1,0.0,0.0,0.0,27.604,24.05,32.3
2015-11-07,1052.0,604.0,2.0,148.0,96.0,0.0,0.0,0.0,0.0,5,0,1,0.0,0.0,0.0,27.754,25.3,31.95
2015-11-08,910.0,674.0,1.0,126.0,87.0,0.0,1.0,0.0,0.0,6,0,0,0.25,0.8,0.0,27.379,23.75,31.9
2015-11-09,1282.0,682.0,1.0,195.0,90.0,0.0,0.0,1.0,0.0,0,0,1,0.0,0.0,0.0,27.438000000000002,23.95,32.1
2015-11-10,1452.0,711.0,2.0,221.0,100.0,0.0,1.0,1.0,0.0,1,0,1,0.0,0.0,0.0,27.570999999999998,23.15,32.2
2015-11-11,1282.0,685.0,0.0,216.0,102.0,0.0,1.0,0.0,0.0,2,0,1,0.05,0.2,0.0,27.613000000000003,25.2,32.05
2015-11-12,1549.0,769.0,1.0,231.0,116.0,0.0,1.0,0.0,0.0,3,0,1,0.075,0.3,0.0,27.346,24.0,31.700000000000003
2015-11-13,1480.0,826.0,0.0,235.0,136.0,0.0,1.0,0.0,0.0,4,0,1,0.0,0.0,0.0,27.587,24.9,31.799999999999997
2015-11-14,1161.0,663.0,2.0,200.0,105.0,0.0,1.0,0.0,0.0,5,0,1,0.1,0.4,0.0,27.725,25.4,32.25
2015-11-15,1017.0,815.0,0.0,175.0,115.0,0.0,0.0,0.0,0.0,6,1,0,0.0,0.0,0.0,27.921,24.25,32.6
2015-11-16,1530.0,742.0,3.0,253.0,135.0,0.0,0.0,0.0,0.0,0,0,1,0.2,0.4,0.0,27.967,25.15,32.25
2015-11-17,1571.0,822.0,1.0,263.0,163.0,0.0,1.0,0.0,0.0,1,0,1,0.0,0.0,0.0,27.758000000000003,25.15,32.3
2015-11-18,1598.0,785.0,1.0,325.0,161.0,0.0,0.0,0.0,0.0,2,0,1,0.0,0.0,0.0,27.7,23.65,32.55
2015-11-19,1592.0,806.0,0.0,352.0,124.0,0.0,2.0,0.0,0.0,3,0,1,0.0,0.0,0.0,27.729,23.75,32.75
2015-11-20,1586.0,755.0,0.0,299.0,144.0,0.0,0.0,0.0,0.0,4,1,0,0.0,0.0,0.0,27.842,23.85,32.85
2015-11-21,1162.0,731.0,3.0,216.0,118.0,0.0,2.0,0.0,0.0,5,0,1,0.0,0.0,0.0,27.708000000000002,24.25,32.849999999999994
2015-11-22,1108.0,740.0,1.0,209.0,118.0,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,0.0,28.233,25.549999999999997,32.8
2015-11-23,1577.0,806.0,0.0,250.0,132.0,0.0,2.0,0.0,0.0,0,0,1,0.0,0.0,0.0,27.691999999999997,23.9,32.75
2015-11-24,1741.0,816.0,1.0,264.0,114.0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,28.179000000000002,25.4,32.9
2015-11-25,1624.0,877.0,1.0,211.0,120.0,0.0,2.0,0.0,0.0,2,0,1,0.0,0.0,0.0,28.225,25.2,32.7
2015-11-26,1711.0,779.0,0.0,276.0,118.0,0.0,0.0,0.0,0.0,3,0,1,0.0,0.0,0.0,28.254,25.049999999999997,32.7
2015-11-27,1594.0,668.0,0.0,196.0,90.0,0.0,0.0,1.0,0.0,4,0,1,0.0,0.0,0.0,28.025,23.65,32.6
2015-11-28,1025.0,512.0,0.0,149.0,83.0,0.0,0.0,0.0,0.0,5,0,1,0.0,0.0,0.0,28.029,24.25,32.7
2015-11-29,1071.0,670.0,1.0,137.0,100.0,0.0,0.0,1.0,0.0,6,0,0,0.0,0.0,0.0,28.267,24.25,32.95
2015-11-30,1567.0,731.0,1.0,213.0,116.0,0.0,0.0,0.0,0.0,0,0,1,0.175,0.5,0.0,28.6,25.450000000000003,32.6
2015-12-01,1660.0,802.0,0.0,286.0,112.0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,28.5,26.1,32.599999999999994
2015-12-02,1568.0,779.0,0.0,257.0,143.0,0.0,0.0,0.0,0.0,2,0,1,0.0,0.0,0.0,28.629,26.05,33.15
2015-12-03,1606.0,741.0,0.0,306.0,102.0,0.0,0.0,0.0,0.0,3,0,1,0.0,0.0,0.0,28.467,25.6,32.5
2015-12-04,1520.0,654.0,0.0,258.0,130.0,0.0,0.0,1.0,0.0,4,0,1,0.0,0.0,0.0,28.025,25.15,32.5
2015-12-05,1072.0,595.0,1.0,158.0,88.0,0.0,0.0,0.0,0.0,5,0,1,0.0,0.0,0.0,28.308000000000003,24.6,32.6
2015-12-06,900.0,647.0,1.0,165.0,107.0,0.0,0.0,0.0,0.0,6,1,0,0.0,0.0,0.0,28.083000000000002,23.85,32.95
2015-12-07,1454.0,756.0,0.0,254.0,135.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,28.3,25.25,32.85
2015-12-08,1590.0,762.0,1.0,316.0,144.0,0.0,0.0,0.0,0.0,1,0,1,0.2,0.8,0.0,28.371,25.35,33.1
2015-12-09,1583.0,719.0,0.0,248.0,141.0,0.0,0.0,0.0,0.0,2,0,1,0.1,0.4,0.0,28.729,24.95,32.6
2015-12-10,1482.0,638.0,0.0,190.0,82.0,0.0,0.0,0.0,0.0,3,1,0,1.75,3.2,0.0,28.05,24.5,32.349999999999994
2015-12-11,1457.0,578.0,0.0,242.0,82.0,0.0,0.0,0.0,0.0,4,0,1,0.0,0.0,0.0,28.204,26.049999999999997,32.5
2015-12-12,1074.0,511.0,2.0,168.0,89.0,0.0,1.0,0.0,0.0,5,0,1,0.0,0.0,0.0,28.496,25.65,33.0
2015-12-13,837.0,549.0,0.0,167.0,119.0,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,0.0,28.771,26.299999999999997,32.95
2015-12-14,1323.0,652.0,1.0,336.0,128.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,28.704,26.25,32.45
2015-12-15,1427.0,681.0,0.0,250.0,142.0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,28.179000000000002,24.3,32.599999999999994
2015-12-16,1360.0,685.0,0.0,190.0,84.0,0.0,0.0,0.0,0.0,2,0,1,0.0,0.0,0.0,28.7,25.950000000000003,31.55
2015-12-17,1374.0,631.0,1.0,134.0,80.0,0.0,0.0,0.0,0.0,3,0,1,3.1,7.2,0.0,27.338,24.35,31.299999999999997
2015-12-18,1226.0,600.0,2.0,168.0,70.0,0.0,0.0,0.0,0.0,4,0,1,2.45,8.8,0.0,28.238000000000003,24.75,32.25
2015-12-19,895.0,436.0,0.0,119.0,46.0,0.0,0.0,0.0,0.0,5,0,1,0.2,0.8,0.0,28.5,26.15,32.25
2015-12-20,812.0,566.0,4.0,99.0,60.0,1.0,0.0,0.0,0.0,6,0,0,0.375,1.0,0.0,28.15,25.25,32.1
2015-12-21,1270.0,575.0,1.0,143.0,62.0,0.0,0.0,0.0,0.0,0,0,1,0.15000000000000002,0.4,0.0,28.254,24.8,32.2
2015-12-22,1195.0,609.0,1.0,115.0,53.0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,28.379,25.1,32.7
2015-12-23,1179.0,567.0,0.0,141.0,59.0,0.0,1.0,0.0,0.0,2,0,1,0.0,0.0,0.0,28.554000000000002,25.25,31.950000000000003
2015-12-24,600.0,288.0,0.0,72.0,32.0,0.0,0.0,0.0,0.0,3,0,1,0.35,1.4,0.0,,24.700000000000003,31.65
2015-12-25,630.0,392.0,3.0,78.0,43.0,0.0,0.0,0.0,0.0,4,1,0,5.0,11.0,0.0,27.496,23.55,32.2
2015-12-26,822.0,488.0,0.0,95.0,51.0,0.0,1.0,0.0,0.0,5,0,1,6.875,16.6,0.4,27.763,24.1,31.9
2015-12-27,867.0,578.0,3.0,106.0,66.0,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,0.0,28.363000000000003,25.5,31.3
2015-12-28,1063.0,574.0,0.0,131.0,61.0,0.0,0.0,0.0,0.0,0,0,1,7.1,10.6,0.0,,23.3,33.3
2015-12-29,1193.0,663.0,1.0,131.0,58.0,0.0,0.0,1.0,0.0,1,0,1,0.05,0.2,0.0,28.188000000000002,24.15,33.05
2015-12-30,1140.0,586.0,3.0,110.0,46.0,0.0,0.0,0.0,0.0,2,0,1,0.0,0.0,0.0,28.733,26.25,32.6
2015-12-31,645.0,293.0,0.0,53.0,23.0,0.0,2.0,1.0,0.0,3,0,1,0.0,0.0,0.0,28.310000000000002,26.299999999999997,31.95
2016-01-01,540.0,352.0,1.0,67.0,31.0,0.0,1.0,1.0,0.0,4,1,0,0.0,0.0,0.0,28.102,26.05,31.75
2016-01-02,841.0,479.0,4.0,120.0,62.0,0.0,1.0,0.0,0.0,5,0,1,0.25,1.0,0.0,28.383499999999998,25.75,32.35
2016-01-03,844.0,582.0,2.0,107.0,60.0,0.0,0.0,0.0,0.0,6,0,0,0.475,1.9,0.0,28.42,25.6,32.35
2016-01-04,1229.0,582.0,0.0,186.0,80.0,0.0,1.0,0.0,0.0,0,1,0,0.075,0.3,0.0,28.2675,25.7,32.5
2016-01-05,1367.0,719.0,6.0,163.0,88.0,0.0,0.0,0.0,0.0,1,1,0,0.5,2.0,0.0,28.3885,25.85,32.45
2016-01-06,1385.0,659.0,2.0,185.0,92.0,0.0,0.0,0.0,0.0,2,0,1,0.0,0.0,0.0,27.77,25.55,31.4
2016-01-07,1131.0,524.0,2.0,116.0,63.0,0.0,1.0,0.0,0.0,3,0,1,4.3,11.0,0.0,26.772,24.35,30.35
2016-01-08,889.0,407.0,1.0,101.0,45.0,0.0,0.0,0.0,0.0,4,0,1,13.100000000000001,31.8,0.0,,23.75,30.25
2016-01-09,820.0,451.0,0.0,90.0,61.0,0.0,1.0,1.0,0.0,5,0,1,48.0,62.6,20.0,27.24,23.45,30.65
2016-01-10,845.0,489.0,2.0,101.0,56.0,0.0,0.0,0.0,0.0,6,0,0,4.8,12.2,0.0,27.2605,23.8,31.450000000000003
2016-01-11,1292.0,694.0,1.0,187.0,84.0,0.0,2.0,0.0,0.0,0,0,1,2.9749999999999996,7.0,0.0,27.9925,24.549999999999997,31.7
2016-01-12,1323.0,695.0,0.0,165.0,112.0,0.0,1.0,0.0,0.0,1,0,1,0.22499999999999998,0.6,0.0,28.331,25.450000000000003,31.85
2016-01-13,1240.0,648.0,0.0,182.0,72.0,0.0,1.0,0.0,0.0,2,0,1,0.0,0.0,0.0,28.125999999999998,26.15,30.9
2016-01-14,1226.0,639.0,0.0,212.0,104.0,0.0,3.0,5.0,0.0,3,0,1,0.05,0.2,0.0,27.6595,25.950000000000003,30.95
2016-01-15,1139.0,520.0,2.0,184.0,92.0,0.0,1.0,2.0,0.0,4,0,1,6.575,9.8,1.9,28.265,25.3,32.099999999999994
2016-01-16,848.0,444.0,0.0,121.0,69.0,0.0,0.0,1.0,0.0,5,0,1,0.3,1.2,0.0,28.3425,25.75,31.85
2016-01-17,877.0,573.0,0.0,131.0,81.0,0.0,1.0,0.0,0.0,6,0,0,0.35,1.4,0.0,28.4665,25.65,31.7
2016-01-18,1295.0,593.0,0.0,177.0,96.0,0.0,1.0,2.0,0.0,0,0,1,2.2,5.2,0.0,,25.85,30.15
2016-01-19,1126.0,533.0,0.0,188.0,91.0,0.0,6.0,1.0,0.0,1,0,1,25.8,48.6,0.0,26.9615,24.450000000000003,31.4
2016-01-20,1058.0,433.0,0.0,128.0,70.0,0.0,4.0,1.0,0.0,2,0,1,2.6500000000000004,5.2,0.0,29.4,24.5,31.4
2016-01-21,576.0,213.0,0.0,134.0,44.0,0.0,3.0,2.0,0.0,3,0,1,61.55,95.0,39.6,26.92,22.9,31.0
2016-01-22,1059.0,507.0,1.0,172.0,81.0,0.0,1.0,0.0,0.0,4,0,1,55.224999999999994,74.0,34.8,27.7575,23.0,30.9
2016-01-23,695.0,357.0,0.0,113.0,53.0,0.0,3.0,0.0,0.0,5,0,1,24.25,29.8,14.2,26.48,23.6,31.7
2016-01-24,568.0,352.0,0.0,66.0,46.0,0.0,0.0,2.0,0.0,6,0,0,1.85,3.4,0.0,28.225,24.15,31.3
2016-01-25,856.0,369.0,0.0,96.0,40.0,0.0,5.0,3.0,0.0,0,0,1,54.15,78.8,30.0,28.430999999999997,23.6,30.8
2016-01-26,1061.0,528.0,0.0,151.0,76.0,0.0,4.0,1.0,0.0,1,0,1,7.1499999999999995,12.2,2.8,28.631,25.15,31.1
2016-01-27,1183.0,568.0,1.0,144.0,102.0,0.0,1.0,0.0,0.0,2,0,1,0.44999999999999996,1.2,0.0,28.7,26.2,31.2
2016-01-28,1146.0,534.0,3.0,151.0,56.0,0.0,1.0,2.0,0.0,3,0,1,1.5,3.2,0.3,28.405,24.9,30.9
2016-01-29,1240.0,520.0,1.0,113.0,40.0,0.0,2.0,0.0,0.0,4,0,1,0.06666666666666667,0.2,0.0,28.175,24.5,31.0
2016-01-30,851.0,461.0,3.0,64.0,38.0,0.0,0.0,0.0,0.0,5,0,1,0.1,0.4,0.0,29.48,24.15,31.15
2016-01-31,639.0,453.0,1.0,47.0,35.0,0.0,0.0,1.0,0.0,6,0,0,3.6999999999999997,13.2,0.0,28.933000000000003,24.4,30.7
2016-02-01,795.0,273.0,2.0,65.0,25.0,0.0,1.0,1.0,0.0,0,0,1,5.725,8.6,3.1,25.835,23.55,29.2
2016-02-02,1137.0,504.0,3.0,150.0,58.0,0.0,2.0,1.0,0.0,1,0,1,16.525,19.4,14.1,26.9,24.65,29.05
2016-02-03,1172.0,532.0,5.0,94.0,38.0,0.0,0.0,1.0,0.0,2,0,1,18.025,19.8,15.8,27.6235,24.8,31.3
2016-02-04,1084.0,463.0,0.0,132.0,38.0,0.0,0.0,0.0,0.0,3,0,1,3.4000000000000004,5.2,0.8,28.607,25.3,31.4
2016-02-05,1066.0,406.0,2.0,105.0,49.0,0.0,1.0,1.0,0.0,4,0,1,0.35,1.0,0.0,29.35,24.9,32.05
2016-02-06,631.0,351.0,0.0,55.0,21.0,0.0,0.0,0.0,0.0,5,0,1,0.0,0.0,0.0,27.8,25.2,31.95
2016-02-07,524.0,305.0,2.0,63.0,22.0,0.0,2.0,0.0,0.0,6,0,0,4.6,13.2,0.0,28.83,26.299999999999997,31.15
2016-02-08,532.0,335.0,0.0,47.0,29.0,0.0,0.0,0.0,0.0,0,0,1,11.700000000000001,21.4,0.0,27.9,24.2,31.200000000000003
2016-02-09,628.0,417.0,1.0,43.0,28.0,0.0,1.0,1.0,0.0,1,0,1,0.025,0.1,0.0,29.11,24.95,31.75
2016-02-10,614.0,306.0,1.0,36.0,23.0,0.0,3.0,0.0,0.0,2,0,1,0.0,0.0,0.0,29.0975,25.4,31.75
2016-02-11,1105.0,444.0,1.0,101.0,49.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0,29.145,26.05,32.0
2016-02-12,1136.0,470.0,1.0,87.0,19.0,0.0,0.0,0.0,0.0,4,0,1,0.0,0.0,0.0,29.32,24.0,32.05
2016-02-13,873.0,417.0,0.0,57.0,36.0,0.0,0.0,0.0,0.0,5,0,1,0.0,0.0,0.0,28.66,26.0,31.95
2016-02-14,727.0,513.0,2.0,53.0,30.0,0.0,0.0,2.0,0.0,6,0,0,0.0,0.0,0.0,29.21,25.3,31.75
2016-02-15,1153.0,463.0,2.0,66.0,35.0,0.0,5.0,1.0,0.0,0,0,1,0.475,1.0,0.0,30.2,26.0,32.1
2016-02-16,1232.0,503.0,1.0,68.0,36.0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,28.26,24.7,32.8
