F_0,M_0,O_0,dia,media_viagens
45.50425626666667,33.54741513828238,0.0,2014-12-16,37.769463559322034
39.52467680311891,27.776983441558443,0.0,2014-12-17,31.970836395267916
30.524928779069764,31.035541082802556,39.315308333333334,2014-12-18,30.889504644808742
31.301019238683125,29.460788003933136,51.760216666666665,2014-12-19,30.099068658698542
42.127635833333336,36.18553028391167,43.534545833333326,2014-12-20,38.522991266794634
52.0590407635468,46.876603194180895,35.22335833333333,2014-12-21,49.102018342245984
35.85258379629629,31.800101674836604,0.0,2014-12-22,33.34741303030303
35.79425978593272,34.83871283292978,0.0,2014-12-23,35.16883840464871
57.77674236111111,42.74105353302612,67.14545000000001,2014-12-24,48.20739999999999
61.431590364583336,58.93950960679177,493.82666666666665,2014-12-25,61.328966006339144
40.9908809912854,36.843312877192986,29.713961111111114,2014-12-26,38.43485342261904
37.799373546511625,35.495263759213756,0.0,2014-12-27,36.55067490013316
60.28548409722223,52.41555363475178,37.461244444444446,2014-12-28,55.92778293650794
42.54123762983947,40.0415871643746,39.01566666666667,2014-12-29,41.06048157793209
40.78458181341719,36.535064588329334,19.885270000000002,2014-12-30,38.248709864864864
49.08443149224807,46.95050352011494,0.0,2014-12-31,47.859007508250826
45.528630521262,53.71052293187348,39.02416666666666,2015-01-01,49.76103703703704
51.28863338744589,38.559875331858414,0.0,2015-01-02,43.718372017543864
45.06345481770833,36.50982662889518,0.0,2015-01-03,40.1054404488232
63.9776245818399,54.82216327536232,0.0,2015-01-04,59.33120776699028
42.44936109452736,31.965802788978493,54.561877777777774,2015-01-05,36.258105255795364
40.36629537996546,34.86892595785441,43.038091666666666,2015-01-06,37.21873137362637
47.33870469208211,35.72754615112995,0.0,2015-01-07,40.59766307913079
39.98451126943005,30.09971905228758,0.0,2015-01-08,34.358122842261906
39.51676009933775,30.415064722222223,28.72886666666667,2015-01-09,33.91677340561225
42.532818229166665,39.88061013468013,19.927833333333332,2015-01-10,40.95799748427673
61.757007971014495,54.282334724919096,40.56966666666667,2015-01-11,57.659606143106465
39.61742465181058,34.67637807017544,39.354079999999996,2015-01-12,36.9201037037037
