dia,x,y
2015-09-21,997,474
2015-09-22,1193,566
2015-09-23,1072,529
2015-09-24,1106,519
2015-09-25,968,461
2015-09-26,803,432
2015-09-27,813,702
2015-09-28,987,485
2015-09-29,1084,493
2015-09-30,1126,515
2015-10-01,1201,510
2015-10-02,1088,490
2015-10-03,785,451
2015-10-04,763,623
2015-10-05,1038,494
2015-10-06,1112,495
2015-10-07,1126,528
2015-10-08,1113,485
2015-10-09,981,436
2015-10-10,708,389
2015-10-11,729,589
2015-10-12,738,599
2015-10-13,1079,511
2015-10-14,1120,515
2015-10-15,1030,486
2015-10-16,1065,509
2015-10-17,707,365
2015-10-18,746,579
2015-10-19,943,481
2015-10-20,1142,472
2015-10-21,1072,514
2015-10-22,1051,490
2015-10-23,1051,492
2015-10-24,731,385
2015-10-25,772,586
2015-10-26,1043,481
2015-10-27,1138,491
2015-10-28,1125,527
2015-10-29,1084,509
2015-10-30,1071,515
2015-10-31,842,489
2015-11-01,738,538
2015-11-02,926,682
2015-11-03,1152,587
2015-11-04,1237,650
2015-11-05,1357,662
2015-11-06,1262,575
2015-11-07,1052,604
2015-11-08,910,674
2015-11-09,1282,682
2015-11-10,1452,711
2015-11-11,1282,685
2015-11-12,1549,769
2015-11-13,1480,826
2015-11-14,1161,663
2015-11-15,1017,815
2015-11-16,1530,742
2015-11-17,1571,822
2015-11-18,1598,785
2015-11-19,1592,806
2015-11-20,1586,755
2015-11-21,1162,731
2015-11-22,1108,740
2015-11-23,1577,806
2015-11-24,1741,816
2015-11-25,1624,877
2015-11-26,1711,779
2015-11-27,1594,668
2015-11-28,1025,512
2015-11-29,1071,670
2015-11-30,1567,731
2015-12-01,1660,802
2015-12-02,1568,779
2015-12-03,1606,741
2015-12-04,1520,654
2015-12-05,1072,595
2015-12-06,900,647
2015-12-07,1454,756
2015-12-08,1590,762
2015-12-09,1583,719
2015-12-10,1482,638
2015-12-11,1457,578
2015-12-12,1074,511
2015-12-13,837,549
2015-12-14,1323,652
2015-12-15,1427,681
2015-12-16,1360,685
2015-12-17,1374,631
2015-12-18,1226,600
2015-12-19,895,436
2015-12-20,812,566
2015-12-21,1270,575
2015-12-22,1195,609
2015-12-23,1179,567
2015-12-24,600,288
2015-12-25,630,392
2015-12-26,822,488
2015-12-27,867,578
2015-12-28,1063,574
2015-12-29,1193,663
2015-12-30,1140,586
2015-12-31,645,293
2016-01-01,540,352
2016-01-02,841,479
2016-01-03,844,582
2016-01-04,1229,582
2016-01-05,1367,719
2016-01-06,1385,659
2016-01-07,1131,524
2016-01-08,889,407
2016-01-09,820,451
2016-01-10,845,489
2016-01-11,1292,694
2016-01-12,1323,695
2016-01-13,1240,648
2016-01-14,1226,639
2016-01-15,1139,520
2016-01-16,848,444
2016-01-17,877,573
2016-01-18,1295,593
2016-01-19,1126,533
2016-01-20,1058,433
2016-01-21,576,213
2016-01-22,1059,507
2016-01-23,695,357
2016-01-24,568,352
2016-01-25,856,369
2016-01-26,1061,528
2016-01-27,1183,568
2016-01-28,1146,534
2016-01-29,1240,520
2016-01-30,851,461
2016-01-31,639,453
2016-02-01,795,273
2016-02-02,1137,504
2016-02-03,1172,532
2016-02-04,1084,463
2016-02-05,1066,406
2016-02-06,631,351
2016-02-07,524,305
2016-02-08,532,335
2016-02-09,628,417
2016-02-10,614,306
2016-02-11,1105,444
2016-02-12,1136,470
2016-02-13,873,417
2016-02-14,727,513
2016-02-15,1153,463
2016-02-16,1232,503
2016-02-17,1192,531
2016-02-18,1073,483
2016-02-19,1118,491
2016-02-20,589,268
2016-02-21,705,484
2016-02-22,1060,475
2016-02-23,1047,405
2016-02-24,1187,471
2016-02-25,1233,535
2016-02-26,1149,507
2016-02-27,808,375
2016-02-28,636,427
2016-02-29,1244,527
2016-03-01,1272,503
2016-03-02,1230,528
2016-03-03,1174,480
2016-03-04,1121,468
2016-03-05,838,412
2016-03-06,731,487
2016-03-07,1144,483
2016-03-08,1167,487
2016-03-09,1199,549
2016-03-10,1115,488
2016-03-11,1107,483
2016-03-12,773,422
2016-03-13,682,394
2016-03-14,1045,431
2016-03-15,1215,493
2016-03-16,1225,526
2016-03-17,823,295
2016-03-18,1220,464
2016-03-19,800,418
2016-03-20,818,458
2016-03-21,1319,546
2016-03-22,1346,572
2016-03-23,1286,545
2016-03-24,961,444
2016-03-25,659,412
2016-03-26,768,421
2016-03-27,534,369
2016-03-28,1192,518
2016-03-29,998,432
2016-03-30,924,409
2016-03-31,829,360
2016-04-01,797,280
2016-04-02,527,217
2016-04-03,299,179
2016-04-04,1037,416
2016-04-05,1036,416
2016-04-06,1179,473
2016-04-07,1193,475
2016-04-08,1192,498
2016-04-09,835,412
2016-04-10,656,449
2016-04-11,1057,424
2016-04-12,1212,556
2016-04-13,1180,543
2016-04-14,1161,515
2016-04-15,1256,548
2016-04-16,836,417
2016-04-17,655,403
2016-04-18,1173,495
2016-04-19,1354,604
2016-04-20,1416,566
2016-04-21,1070,652
2016-04-22,717,294
2016-04-23,976,542
2016-04-24,865,603
2016-04-25,1323,596
2016-04-26,1266,582
2016-04-27,1394,623
2016-04-28,1356,614
2016-04-29,1173,530
2016-04-30,980,465
2016-05-01,899,601
2016-05-02,1388,619
2016-05-03,1383,604
2016-05-04,1475,675
2016-05-05,1487,689
2016-05-06,1598,639
2016-05-07,1095,595
2016-05-08,818,514
2016-05-09,1429,594
2016-05-10,1640,737
2016-05-11,1426,622
2016-05-12,1484,595
2016-05-13,1577,673
2016-05-14,1169,599
2016-05-15,1067,676
2016-05-16,1616,780
2016-05-17,1808,884
2016-05-18,1533,771
2016-05-19,1695,788
2016-05-20,1574,705
2016-05-21,1145,624
2016-05-22,1058,774
2016-05-23,1530,753
2016-05-24,1567,798
2016-05-25,1531,735
2016-05-26,1134,803
2016-05-27,1395,693
2016-05-28,1011,639
2016-05-29,977,745
2016-05-30,1504,706
2016-05-31,1413,685
2016-06-01,1402,688
2016-06-02,1351,646
2016-06-03,1354,646
2016-06-04,1121,605
2016-06-05,1205,801
2016-06-06,1488,783
2016-06-07,1730,810
2016-06-08,1588,858
2016-06-09,1611,743
2016-06-10,1613,803
2016-06-11,1184,639
2016-06-12,977,728
2016-06-13,1513,688
2016-06-14,1740,887
2016-06-15,1683,806
2016-06-16,1658,785
2016-06-17,1588,785
2016-06-18,1211,665
2016-06-19,1100,753
2016-06-20,1664,822
2016-06-21,1536,801
2016-06-22,1613,748
2016-06-23,1521,758
2016-06-24,1452,651
2016-06-25,1045,560
2016-06-26,939,677
2016-06-27,1445,778
2016-06-28,1538,870
2016-06-29,1518,761
2016-06-30,1476,832
2016-07-01,1571,749
2016-07-02,1042,572
2016-07-03,948,756
2016-07-04,1519,778
2016-07-05,1610,858
2016-07-06,1330,617
2016-07-07,1597,842
2016-07-08,1470,715
2016-07-09,1105,648
2016-07-10,1034,702
2016-07-11,1636,821
2016-07-12,1853,951
2016-07-13,1677,864
2016-07-14,1660,883
2016-07-15,1656,795
2016-07-16,1080,622
2016-07-17,1034,735
2016-07-18,1680,872
2016-07-19,1693,879
2016-07-20,1691,878
2016-07-21,1592,845
2016-07-22,1519,737
2016-07-23,1104,658
2016-07-24,1015,746
2016-07-25,1625,860
2016-07-26,1704,876
2016-07-27,1714,832
2016-07-28,1667,864
2016-07-29,1484,743
2016-07-30,1144,657
2016-07-31,1097,739
2016-08-01,1679,810
2016-08-02,1559,877
2016-08-03,1610,901
2016-08-04,1603,849
2016-08-05,1589,759
2016-08-06,1191,686
2016-08-07,1171,790
2016-08-08,1518,765
2016-08-09,1594,855
2016-08-10,1719,860
2016-08-11,1788,873
2016-08-12,1651,826
2016-08-13,1287,734
2016-08-14,885,637
2016-08-15,1229,854
2016-08-16,1676,735
2016-08-17,1786,869
2016-08-18,1885,970
2016-08-19,1877,898
2016-08-20,1082,659
2016-08-21,1037,709
2016-08-22,1862,857
2016-08-23,1879,850
2016-08-24,1826,865
2016-08-25,1741,881
2016-08-26,1759,763
2016-08-27,1242,676
2016-08-28,1093,782
2016-08-29,1811,811
2016-08-30,1810,875
2016-08-31,1827,918
2016-09-01,1757,858
2016-09-02,1695,833
2016-09-03,1230,648
2016-09-04,1077,730
