year,month,day,avg_tmp
2014,01,01,27.500
2014,01,02,26.940
2014,01,03,26.480
2014,01,04,27.600
2014,01,05,27.380
2014,01,06,26.280
2014,01,07,27.740
2014,01,08,27.700
2014,01,09,27.420
2014,01,10,28.040
2014,01,11,26.500
2014,01,12,27.320
2014,01,13,27.500
2014,01,14,27.980
2014,01,15,28.080
2014,01,16,27.420
2014,01,17,28.160
2014,01,18,27.820
2014,01,19,27.980
2014,01,20,27.620
2014,01,21,28.000
2014,01,22,28.040
2014,01,23,27.900
2014,01,24,27.580
2014,01,25,27.920
2014,01,26,27.700
2014,01,27,28.120
2014,01,28,28.620
2014,01,29,25.960
2014,01,30,26.820
2014,01,31,27.480
2014,02,01,27.660
2014,02,02,27.500
2014,02,03,
2014,02,04,26.300
2014,02,05,27.060
2014,02,06,27.540
2014,02,07,26.860
2014,02,08,27.040
2014,02,09,27.640
2014,02,10,27.160
2014,02,11,27.380
2014,02,12,26.720
2014,02,13,27.540
2014,02,14,27.540
2014,02,15,27.060
2014,02,16,
2014,02,17,26.660
2014,02,18,26.060
2014,02,19,26.840
2014,02,20,27.540
2014,02,21,27.080
2014,02,22,27.140
2014,02,23,27.780
2014,02,24,27.420
2014,02,25,27.620
2014,02,26,27.520
2014,02,27,27.180
2014,02,28,27.160
2014,03,01,27.420
2014,03,02,28.080
2014,03,03,26.900
2014,03,04,27.140
2014,03,05,26.920
2014,03,06,27.160
2014,03,07,27.400
2014,03,08,27.560
2014,03,09,26.380
2014,03,10,27.080
2014,03,11,27.280
2014,03,12,26.860
2014,03,13,27.340
2014,03,14,26.980
2014,03,15,26.320
2014,03,16,26.100
2014,03,17,27.180
2014,03,18,26.380
2014,03,19,27.640
2014,03,20,28.060
2014,03,21,27.780
2014,03,22,28.140
2014,03,23,28.020
2014,03,24,28.240
2014,03,25,27.780
2014,03,26,27.420
2014,03,27,26.640
2014,03,28,26.980
2014,03,29,26.700
2014,03,30,25.940
2014,03,31,25.760
2014,04,01,25.600
2014,04,02,26.760
2014,04,03,27.320
2014,04,04,26.940
2014,04,05,27.100
2014,04,06,27.000
2014,04,07,26.020
2014,04,08,25.420
2014,04,09,27.140
2014,04,10,27.300
2014,04,11,26.300
2014,04,12,27.700
2014,04,13,27.600
2014,04,14,26.520
2014,04,15,26.580
2014,04,16,26.140
2014,04,17,25.240
2014,04,18,27.980
2014,04,19,28.140
2014,04,20,27.880
2014,04,21,27.420
2014,04,22,27.260
2014,04,23,27.740
2014,04,24,28.340
2014,04,25,27.180
2014,04,26,28.180
2014,04,27,25.820
2014,04,28,25.920
2014,04,29,27.080
2014,04,30,25.420
2014,05,01,26.980
2014,05,02,26.960
2014,05,03,26.820
2014,05,04,26.980
2014,05,05,26.640
2014,05,06,27.620
2014,05,07,27.420
2014,05,08,27.380
2014,05,09,26.300
2014,05,10,26.580
2014,05,11,26.200
2014,05,12,26.440
2014,05,13,25.420
2014,05,14,25.020
2014,05,15,26.900
2014,05,16,27.180
2014,05,17,27.000
2014,05,18,27.420
2014,05,19,27.300
2014,05,20,25.820
2014,05,21,26.980
2014,05,22,27.420
2014,05,23,26.940
2014,05,24,26.640
2014,05,25,27.000
2014,05,26,26.740
2014,05,27,26.100
2014,05,28,27.080
2014,05,29,26.660
2014,05,30,26.220
2014,05,31,26.700
2014,06,01,26.660
2014,06,02,26.940
2014,06,03,27.460
2014,06,04,27.380
2014,06,05,27.240
2014,06,06,27.120
2014,06,07,26.600
2014,06,08,27.000
2014,06,09,
2014,06,10,27.180
2014,06,11,26.840
2014,06,12,26.640
2014,06,13,26.960
2014,06,14,25.540
2014,06,15,27.120
2014,06,16,27.060
2014,06,17,27.380
2014,06,18,27.500
2014,06,19,27.160
2014,06,20,27.120
2014,06,21,26.720
2014,06,22,27.480
2014,06,23,26.300
2014,06,24,27.200
2014,06,25,27.160
2014,06,26,26.060
